hg19_id	chr_tss_hg19	start_tss_hg19	biotype_hg19	cage_id_hg19	name_peak_hg19	minimal_biotype_hg19	stem_exp_hg19	mm9_id	chr_tss_mm9	start_tss_mm9	biotype_mm9	cage_id_mm9	name_peak_mm9	minimal_biotype_mm9	stem_exp_mm9	tss_tile_num	orig_species	biotype_switch_minimal	HUES64_hg19	mESC_hg19	HUES64_mm9	mESC_mm9	HUES64_padj_hg19	mESC_padj_hg19	HUES64_padj_mm9	mESC_padj_mm9	logFC_native	fdr_native	native_status	native_status_det	logFC_cis_HUES64	fdr_cis_HUES64	logFC_cis_mESC	fdr_cis_mESC	cis_HUES64_status	cis_mESC_status	cis_HUES64_status_det	cis_mESC_status_det	cis_status_one	cis_status_det_one	logFC_cis_one	logFC_trans_human	fdr_trans_human	logFC_trans_mouse	fdr_trans_mouse	trans_human_status	trans_mouse_status	trans_human_status_det	trans_mouse_status_det	trans_status_one	trans_status_det_one	logFC_trans_one	logFC_int	fdr_int	cis_trans_int_status	cis_trans_int_status_det
h.1370	chr17	73291973.0	enhancer	chr17:73291742-73292218	chr17:73291742-73292218__POSITIVE	eRNA	0.0	m.1052	chr11	115492549.0	enhancer	chr11:115492189-115492550	chr11:115492189-115492550__POSITIVE	eRNA	0.0627692	tile1	human	eRNA	0.959803331770687	1.1670300039899	2.08054238886088	2.2513164327404103	0.7268053800540429	0.6998507027972061	0.00224035635057239	0.00506889538166472	1.3632925256786002	1.24921409694433e-10	significant native effect	"native effect
(higher in mouse)"	1.12045063247528	1.63638984709664e-08	1.04190587348502	1.7744526196236898e-07	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.12045063247528	0.34504919056074	0.10532723556590701	0.226901438797325	0.0893465412113167	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.34504919056074	-0.0131639745411989	0.993370428679427	no cis/trans int. effect	no cis/trans int. effect
h.1181	chr17	73426614.0	enhancer	chr17:73426423-73426691	chr17:73426423-73426691__NEGATIVE	eRNA	0.185441	m.1053	chr11	115595408.0	enhancer	chr11:115595407-115595533	chr11:115595407-115595533__NEGATIVE	eRNA	0.13957999999999998	tile1	human	eRNA	1.4635945320918997	1.11243936235457	2.1231885149481498	2.3995028306637796	0.19012472372258102	0.725385063422831	0.00147284940898405	0.00139354262423313	0.813016249005714	0.00109252275324296	no native effect	no native effect	0.5172419846183139	0.0403156119745673	0.778037847691028	0.00270986037445635	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.778037847691028	-0.0494337734804974	0.838280731229634	0.25479008363245303	0.237907713413798	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.25479008363245303	0.25039064711457504	0.900128765938212	no cis/trans int. effect	no cis/trans int. effect
h.1183	chr17	75284965.0	enhancer	chr17:75284936-75285118	chr17:75284936-75285118__NEGATIVE	eRNA	0.0	m.1055	chr11	117066944.0	enhancer	chr11:117066923-117067089	chr11:117066923-117067089__NEGATIVE	eRNA	0.0296226	tile1	human	eRNA	0.9727445280794731	0.8986181924678771	1.20708475648539	1.21836520649192	0.718930986315193	0.7888924243443092	0.481997162351344	0.665339513424317	0.40904279907166996	0.0833966767217687	no native effect	no native effect	0.280026043389244	0.20121132019045604	0.269128205017362	0.33452689191078006	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.280026043389244	0.13600575693716901	0.553769391455682	0.170591581268732	0.464552152948669	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.170591581268732	-0.0135997269177723	0.995698006929522	no cis/trans int. effect	no cis/trans int. effect
h.1186	chr14	61822630.0	enhancer	chr14:61822624-61823005	chr14:61822624-61823005__NEGATIVE	eRNA	0.0	m.1058	chr12	74718681.0	enhancer	chr12:74718680-74718806	chr12:74718680-74718806__NEGATIVE	eRNA	0.0753256	tile1	human	eRNA	0.6368381133150001	0.8527274032506609	1.93376207467424	3.32602379498344	0.86507198774107	0.7995290416445648	0.00850602421947085	1.56735719667734e-08	1.70284821059855	7.521481624178349e-14	significant native effect	"native effect
(higher in mouse)"	1.0350414788048001	1.01919399378685e-06	1.18520501372441	7.23496626508738e-08	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.18520501372441	0.462646575446136	0.0205110521114819	0.657094043576688	0.00011414731238876	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	significant trans effect	"trans effect
(higher in mouse)"	0.657094043576688	0.13816501312142598	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.1187	chr14	70099104.0	enhancer	chr14:70099072-70099485	chr14:70099072-70099485__NEGATIVE	eRNA	0.0316394	m.1059	chr12	81912977.0	enhancer	chr12:81912975-81913174	chr12:81912975-81913174__NEGATIVE	eRNA	0.0494116	tile1	human	eRNA	0.931954615254616	1.28461437673199	1.31894332203466	1.00947451652368	0.7457176002424399	0.6145465885091821	0.341956186518294	0.760977330898817	-2.10487857456676	6.60339349872677e-08	significant native effect	"native effect
(higher in human)"	-1.4207817239704799	0.00106256420687305	-2.47152708296645	2.05130949478763e-08	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-2.47152708296645	0.504527099647459	0.0414297442599005	-0.4341302203908571	0.5017639718575619	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.504527099647459	-1.37914003535779	0.0954554973976566	no cis/trans int. effect	no cis/trans int. effect
h.1188	chr14	75963683.0	enhancer	chr14:75963682-75963938	chr14:75963682-75963938__NEGATIVE	eRNA	0.0287066	m.1060	chr12	87011225.0	enhancer	chr12:87011151-87011306	chr12:87011151-87011306__NEGATIVE	eRNA	0.0	tile1	human	eRNA	0.419237896084981	0.8114597730672991	1.76529252991795	1.50606225720804	0.9464080252435401	0.816943074960885	0.0316244228427218	0.36121462740146204	1.13985253726168	0.00013052027428888898	no native effect	no native effect	1.22181567236131	1.64101418186358e-05	0.457811792987959	0.155936354830826	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	no cis effect	significant cis effect	"cis effect
(higher in mouse)"	1.22181567236131	0.8031543992154251	0.00340576767153665	-0.0272699110928878	0.9312877024619179	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	no trans effect	significant trans effect	"trans effect
(higher in mouse)"	0.8031543992154251	-0.827862344832965	0.19914633952641897	no cis/trans int. effect	no cis/trans int. effect
h.1189	chr14	76009227.0	enhancer	chr14:76009076-76009592	chr14:76009076-76009592__NEGATIVE	eRNA	0.0	m.1061	chr12	87046620.0	enhancer	chr12:87046337-87046970	chr12:87046337-87046970__NEGATIVE	eRNA	0.0469489	tile1	human	eRNA	1.9625741631641103	1.90733595186536	3.1259650901634104	5.240436597827291	0.00662570930354919	0.0578656492245564	1.05151165204072e-09	1.3250704227238498e-26	0.108355427941517	0.7704203743164721	no native effect	no native effect	-0.539274741471482	0.142680594307025	-0.11069567423233198	0.7785501074167059	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.539274741471482	0.184549320270583	0.502564244770842	0.595704437659245	0.0637770824666464	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.595704437659245	0.394893859932247	0.832070815230348	no cis/trans int. effect	no cis/trans int. effect
h.1190	chr14	77386390.0	enhancer	chr14:77386302-77386621	chr14:77386302-77386621__NEGATIVE	eRNA	0.11891900000000001	m.1062	chr12	88143299.0	enhancer	chr12:88143155-88143458	chr12:88143155-88143458__NEGATIVE	eRNA	0.501366	tile1	human	eRNA	1.3485754397246998	1.2164981589347499	1.1442608528073501	1.45031055539859	0.306689722539476	0.665559683602746	0.556646625592103	0.426014728721401	-0.28189482292742307	0.19666982275288197	no native effect	no native effect	-0.618998934982926	0.00210118165810268	-0.38566201172132103	0.0706122791253507	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.618998934982926	0.0892009400804329	0.6985245539076291	0.35529029922113203	0.0656819766189176	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.35529029922113203	0.23394672051983603	0.8816967462989259	no cis/trans int. effect	no cis/trans int. effect
h.1193	chr6	7041859.0	enhancer	chr6:7041789-7041905	chr6:7041789-7041905__NEGATIVE	eRNA	0.0457842	m.1065	chr13	37852176.0	enhancer	chr13:37851865-37852190	chr13:37851865-37852190__POSITIVE	eRNA	0.0286457	tile1	human	eRNA	1.04500572828154	1.34729217040632	0.919408850867622	0.757260159653261	0.6586621174155219	0.547083796136839	0.752688192241009	0.83688956845814	-0.66872890621528	0.0681508981693305	no native effect	no native effect	-0.572855991228139	0.0591797091167727	-0.9777205266401879	0.00192809178713353	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.9777205266401879	0.33665530525476894	0.240535664713028	-0.054932417343957006	0.882222539853583	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.33665530525476894	-0.240581268441065	0.942713336374277	no cis/trans int. effect	no cis/trans int. effect
h.1383	chr6	7041904.0	enhancer	chr6:7041789-7041905	chr6:7041789-7041905__POSITIVE	eRNA	0.0457842	m.1065	chr13	37852176.0	enhancer	chr13:37851865-37852190	chr13:37851865-37852190__POSITIVE	eRNA	0.0286457	tile1	human	eRNA	1.08272822775926	1.13057757666096	0.919408850867622	0.757260159653261	0.6213138849474901	0.717911175466595	0.752688192241009	0.83688956845814	-1.00247510896729	0.000682922167132717	no native effect	no native effect	-1.06281118418434	2.91357819052105e-05	-1.28879465294767	5.50390977378495e-06	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-1.28879465294767	0.232222210041008	0.28671460268027	-0.0266165489319993	0.946550175792163	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.232222210041008	-0.17226513166464	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.1194	chr6	7130592.0	enhancer	chr6:7130548-7130794	chr6:7130548-7130794__NEGATIVE	eRNA	0.0953323	m.1066	chr13	37939610.0	enhancer	chr13:37939578-37939980	chr13:37939578-37939980__NEGATIVE	eRNA	0.016984	tile1	human	eRNA	1.3031481310811102	1.46234900018223	1.2605962862761002	1.23307005172191	0.36105587796976	0.411928564905712	0.4144845515398571	0.656942403022748	-0.248715492683707	0.300170315349656	no native effect	no native effect	-0.40849513983407704	0.0657522584919921	-0.4602787548572151	0.0656561895830431	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.4602787548572151	0.283051887036171	0.11647106510043	0.126407362925245	0.699354041376611	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.283051887036171	-0.115554668427847	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.1198	chr9	96929097.0	enhancer	chr9:96928795-96929410	chr9:96928795-96929410__NEGATIVE	eRNA	2.81033	m.1070	chr13	48641266.0	enhancer	chr13:48641093-48641474	chr13:48641093-48641474__NEGATIVE	eRNA	0.876713	tile1	human	eRNA	7.27985696698406	6.07309550923759	16.1903631567279	30.204803176092895	1.0352252800966198e-73	8.32995231888452e-38	0.0	0.0	1.1376539321156398	6.76279803430463e-07	significant native effect	"native effect
(higher in mouse)"	0.362500471056599	0.114090090249482	1.16802613691966	4.1705332707199896e-07	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.16802613691966	-0.0151581932785012	0.948321979199754	0.754148546274556	2.3388044111986603e-07	no trans effect	significant trans effect	no trans effect	"trans effect
(higher in mouse)"	significant trans effect	"trans effect
(higher in mouse)"	0.754148546274556	0.8126109161817611	0.0516564473470185	no cis/trans int. effect	no cis/trans int. effect
h.1199	chr9	93955359.0	enhancer	chr9:93955243-93955725	chr9:93955243-93955725__NEGATIVE	eRNA	0.030463999999999998	m.1071	chr13	52914248.0	enhancer	chr13:52914220-52914496	chr13:52914220-52914496__NEGATIVE	eRNA	0.0	tile1	human	eRNA	1.2541196341773402	1.04574010334378	2.00249235851856	0.814775183615515	0.422780485148375	0.754167272389418	0.004650554247414	0.81597466993845	-0.8388909358134459	0.0152125062993517	no native effect	no native effect	-0.254076986732407	0.45175959256063497	-0.905906165507275	0.00475560226489582	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.905906165507275	-0.0142690432016106	0.9611766934540892	-0.693642650701389	0.0117521550755615	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.693642650701389	-0.552863669618682	0.549593204854098	no cis/trans int. effect	no cis/trans int. effect
h.1201	chr9	86886475.0	enhancer	chr9:86886391-86886731	chr9:86886391-86886731__NEGATIVE	eRNA	0.0457842	m.1073	chr13	58649060.0	enhancer	chr13:58649059-58649193	chr13:58649059-58649193__NEGATIVE	eRNA	0.0	tile1	human	eRNA	1.36867615145008	1.3617217994363702	0.879606083108928	0.942972033569072	0.284884360974644	0.5302629977260871	0.7721614819297409	0.7759255652667529	0.548177000146449	0.0203952548317323	no native effect	no native effect	0.36988200542458505	0.0947828994601726	0.265118837936626	0.37070212007296505	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.36988200542458505	0.24757339953127	0.28824628576959804	0.21236962155201	0.249521085251844	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.24757339953127	-0.0964376085063845	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.1203	chr5	64422270.0	enhancer	chr5:64422269-64422403	chr5:64422269-64422403__NEGATIVE	eRNA	0.0	m.1075	chr13	105308600.0	enhancer	chr13:105308577-105308643	chr13:105308577-105308643__NEGATIVE	eRNA	0.062401	tile1	human	eRNA	0.79833224386297	0.9660846985108259	1.20243481879387	1.25449572654256	0.801924664807782	0.769770334629483	0.48761842299871505	0.6409580328409351	1.82281292886911	4.7366171584203203e-08	significant native effect	"native effect
(higher in mouse)"	1.6452183609987199	1.11079161008127e-06	1.77851799372085	4.10246951208062e-07	significant cis effect	significant cis effect	"cis effect
(higher in mouse)"	"cis effect
(higher in mouse)"	significant cis effect	"cis effect
(higher in mouse)"	1.77851799372085	0.20857823982553897	0.5711043646133	0.165496678518983	0.48306683435701	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.20857823982553897	-0.118630027432516	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.1393	chr5	64422402.0	enhancer	chr5:64422269-64422403	chr5:64422269-64422403__POSITIVE	eRNA	0.0	m.1075	chr13	105308600.0	enhancer	chr13:105308577-105308643	chr13:105308577-105308643__NEGATIVE	eRNA	0.062401	tile1	human	eRNA	0.683617491424884	0.9151617945869571	1.20243481879387	1.25449572654256	0.846225487275141	0.7818191875844531	0.48761842299871505	0.6409580328409351	1.26577303146526	4.7360364011601104e-07	significant native effect	"native effect
(higher in mouse)"	1.0220082819356602	1.0896551225575e-05	0.83122436008033	0.000441369087224531	significant cis effect	no cis effect	"cis effect
(higher in mouse)"	no cis effect	significant cis effect	"cis effect
(higher in mouse)"	1.0220082819356602	0.467028142948706	0.025852525369834	0.19366253005613	0.28859761564384495	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.467028142948706	-0.18745182354612303	0.9374972648064391	no cis/trans int. effect	no cis/trans int. effect
h.1204	chr3	56957999.0	enhancer	chr3:56957686-56958168	chr3:56957686-56958168__NEGATIVE	eRNA	0.0	m.1076	chr14	28044084.0	enhancer	chr14:28044027-28044195	chr14:28044027-28044195__NEGATIVE	eRNA	0.0469749	tile1	human	eRNA	0.780827969239041	1.0086063672196701	1.0629490531234	1.29046362469296	0.80699538905986	0.7610524403248391	0.641533221904515	0.6071656844356179	0.91782957749953	0.0011737300820814	no native effect	no native effect	0.5872541441498311	0.0290391606305755	0.480970725886669	0.0937103191212877	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.5872541441498311	0.40700899893044107	0.0964034719497043	0.32748154887679604	0.16938832948694799	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.40700899893044107	-0.0600601253186481	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.1207	chr13	74709700.0	enhancer	chr13:74709487-74710034	chr13:74709487-74710034__NEGATIVE	eRNA	1.62227	m.1079	chr14	100685176.0	enhancer	chr14:100685140-100685779	chr14:100685140-100685779__NEGATIVE	eRNA	1.7321099999999998	tile1	human	eRNA	1.6500605761298301	1.27315097653955	1.76145633569699	1.3957192847370201	0.0689572316122055	0.623448660840234	0.0325346463738745	0.49111733599898905	0.8204216614748431	0.0016686936991074	no native effect	no native effect	0.7352821182155059	0.006989386901583379	0.9460115497128491	0.000446570987911859	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.9460115497128491	-0.14624183468820198	0.666258272113309	-0.0826116731887767	0.745305999767175	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.14624183468820198	0.170381629421241	0.9697844887387759	no cis/trans int. effect	no cis/trans int. effect
h.1208	chr8	103549319.0	enhancer	chr8:103549220-103549421	chr8:103549220-103549421__NEGATIVE	eRNA	0.319468	m.1080	chr15	38129418.0	enhancer	chr15:38129288-38129419	chr15:38129288-38129419__POSITIVE	eRNA	0.0627692	tile1	human	eRNA	1.2236452988214799	1.28340198014033	0.9288977624753121	0.820744708610146	0.461047300918876	0.6154201456116751	0.747650241026838	0.813290558429677	-0.7872500475486199	0.0014493878522834698	no native effect	no native effect	-0.8809716808656349	0.000100427534813905	-1.08191563291725	2.1211394658025197e-05	no cis effect	significant cis effect	no cis effect	"cis effect
(higher in human)"	significant cis effect	"cis effect
(higher in human)"	-1.08191563291725	0.25081772347975695	0.184063253053365	0.0364122237691475	0.8960595125232859	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.25081772347975695	-0.218687878031434	0.9154766729973909	no cis/trans int. effect	no cis/trans int. effect
h.1398	chr8	103549341.0	enhancer	chr8:103549220-103549421	chr8:103549220-103549421__POSITIVE	eRNA	0.319468	m.1080	chr15	38129418.0	enhancer	chr15:38129288-38129419	chr15:38129288-38129419__POSITIVE	eRNA	0.0627692	tile1	human	eRNA	1.7216622823993701	1.06090034381531	0.9288977624753121	0.820744708610146	0.043144633155809	0.7477226500469971	0.747650241026838	0.813290558429677	-0.0347143946493779	0.9166334152577281	no native effect	no native effect	-0.0753578098984718	0.8144429855877622	-0.0289240927746302	0.9434057700412328	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.0753578098984718	-0.147330841917512	0.674765637524138	0.0183761731768808	0.950981080769033	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.147330841917512	0.0280594425642699	0.9928814373305741	no cis/trans int. effect	no cis/trans int. effect
h.1209	chr8	117466703.0	enhancer	chr8:117466702-117466888	chr8:117466702-117466888__NEGATIVE	eRNA	0.039043800000000004	m.1081	chr15	51433067.0	enhancer	chr15:51432795-51433310	chr15:51432795-51433310__NEGATIVE	eRNA	0.0	tile1	human	eRNA	1.11816313845933	0.8689428858250691	0.546672238073251	0.5326647363974261	0.58674293015951	0.79431511071542	0.9021735917096859	0.9262579628006651	-0.738955028421101	0.0212398106726585	no native effect	no native effect	-1.15017991787509	0.00026869758165659104	-0.593764348018398	0.11438333168405401	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-1.15017991787509	-0.0508030672539645	0.862762941024476	0.20113724876578898	0.653491910874584	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.20113724876578898	0.328785214746922	0.902777021464942	no cis/trans int. effect	no cis/trans int. effect
h.1211	chr8	126649858.0	enhancer	chr8:126649729-126649959	chr8:126649729-126649959__NEGATIVE	eRNA	0.030463999999999998	m.1083	chr15	59654927.0	enhancer	chr15:59654865-59655243	chr15:59654865-59655243__NEGATIVE	eRNA	0.12754100000000002	tile1	human	eRNA	1.00605750814068	0.906899480879023	0.9446995214521859	1.00795209258769	0.69378648335167	0.7852211149504541	0.7377139954044971	0.7614169176360629	0.600268410494755	0.006797289970467539	no native effect	no native effect	0.364482513420025	0.10633641911739901	0.493654648241424	0.0547111095156403	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.493654648241424	0.106496708324111	0.655116956287678	0.195876734487707	0.33050353905888397	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.195876734487707	0.0396008545826083	0.9911147462268158	no cis/trans int. effect	no cis/trans int. effect
h.1401	chr8	126649923.0	enhancer	chr8:126649729-126649959	chr8:126649729-126649959__POSITIVE	eRNA	0.030463999999999998	m.1083	chr15	59654927.0	enhancer	chr15:59654865-59655243	chr15:59654865-59655243__NEGATIVE	eRNA	0.12754100000000002	tile1	human	eRNA	1.14602197483658	0.9394432800603101	0.9446995214521859	1.00795209258769	0.554608547455443	0.776412458712118	0.7377139954044971	0.7614169176360629	0.0840722132114332	0.689627562249278	no native effect	no native effect	-0.12215707921914698	0.573008342368179	0.132332538977116	0.5814456629034611	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.132332538977116	-0.0232296927144302	0.9212892881703109	0.189133614770018	0.32669702913893894	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.189133614770018	0.14097161657217402	0.9695217443247909	no cis/trans int. effect	no cis/trans int. effect
h.1212	chr8	134387789.0	enhancer	chr8:134387761-134388081	chr8:134387761-134388081__NEGATIVE	eRNA	0.0285395	m.1084	chr15	66871009.0	enhancer	chr15:66870989-66871473	chr15:66870989-66871473__NEGATIVE	eRNA	0.22301700000000002	tile1	human	eRNA	1.47567462090538	1.45828605226926	2.50923799137638	2.19967815728697	0.17959692171231895	0.415850372374214	1.66912218129775e-05	0.007713225026526659	-0.274120807939712	0.390018677028715	no native effect	no native effect	-0.36784622159405606	0.26429023878651703	-0.47273730960129207	0.16353899344120298	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.47273730960129207	0.19249044285431602	0.36176700978926896	-0.00897602726485657	0.982055620916239	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.19249044285431602	-0.25924367439621	0.917373706043162	no cis/trans int. effect	no cis/trans int. effect
h.1213	chr22	37428873.0	enhancer	chr22:37428831-37429188	chr22:37428831-37429188__NEGATIVE	eRNA	0.0720219	m.1085	chr15	78247512.0	enhancer	chr15:78247510-78247709	chr15:78247510-78247709__NEGATIVE	eRNA	0.0	tile1	human	eRNA	1.3216247072674	1.8098352683791101	0.8436815494612131	1.1169071153113999	0.338741690511915	0.0996717791955317	0.7856709599846959	0.723821454367914	0.186060440519475	0.49989821700843295	no native effect	no native effect	-0.327150662754091	0.217078897812307	-0.31014813874524394	0.246832991605338	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.327150662754091	0.483595904616947	0.0363837867111197	0.42185637841110496	0.0554876215440572	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.483595904616947	-0.018557163382465002	0.993370428679427	no cis/trans int. effect	no cis/trans int. effect
h.1403	chr22	37428980.0	enhancer	chr22:37428831-37429188	chr22:37428831-37429188__POSITIVE	eRNA	0.0720219	m.1085	chr15	78247512.0	enhancer	chr15:78247510-78247709	chr15:78247510-78247709__NEGATIVE	eRNA	0.0	tile1	human	eRNA	0.7759588552817629	0.8281759355502071	0.8436815494612131	1.1169071153113999	0.808626345465355	0.8104974336242879	0.7856709599846959	0.723821454367914	0.14195521801068303	0.583734571901304	no native effect	no native effect	-0.282409740868496	0.25885808845728603	-0.110738674336217	0.6840351435860871	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.282409740868496	0.252615822544439	0.231949275738913	0.39052257634664794	0.0964901994791332	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.39052257634664794	0.128235524466866	0.982178378279215	no cis/trans int. effect	no cis/trans int. effect
h.1214	chr22	46472691.0	enhancer	chr22:46472616-46472825	chr22:46472616-46472825__NEGATIVE	eRNA	0.0720219	m.1086	chr15	85506420.0	enhancer	chr15:85506232-85506610	chr15:85506232-85506610__NEGATIVE	eRNA	0.0	tile1	human	eRNA	1.3787339528127398	1.54491272343882	1.77629919221539	1.51980320882484	0.273729765610366	0.31746392290508	0.0292117106362882	0.34519555284910997	0.957596400629156	0.00048243092031032307	no native effect	no native effect	0.944308780392342	0.00035097689666043196	0.717328060962872	0.00645649125775938	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.944308780392342	0.23477350868565	0.366113768017864	-0.0221414116002307	0.941032434049688	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.23477350868565	-0.20413931982740302	0.944006879419698	no cis/trans int. effect	no cis/trans int. effect
h.1215	chr22	50331572.0	enhancer	chr22:50331571-50331948	chr22:50331571-50331948__NEGATIVE	eRNA	0.0	m.1087	chr15	88670766.0	enhancer	chr15:88670559-88670949	chr15:88670559-88670949__POSITIVE	eRNA	0.0339681	tile1	human	eRNA	0.7954228954288008	1.23123878845273	1.2627633084863301	1.14564977106951	0.802174019583817	0.658218683417268	0.411889057190157	0.7106568804426471	0.438883265996842	0.10580368292563799	no native effect	no native effect	0.36778376817603	0.171059540062998	-0.14088767745751998	0.6235058090789	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	0.36778376817603	0.570825016705656	0.0271860299879037	0.0719460910687841	0.7691863268255591	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	0.570825016705656	-0.49729427493120903	0.565024137874452	no cis/trans int. effect	no cis/trans int. effect
h.1405	chr22	50331867.0	enhancer	chr22:50331571-50331948	chr22:50331571-50331948__POSITIVE	eRNA	0.0	m.1087	chr15	88670766.0	enhancer	chr15:88670559-88670949	chr15:88670559-88670949__POSITIVE	eRNA	0.0339681	tile1	human	eRNA	2.52356893703704	1.26089963654848	1.2627633084863301	1.14564977106951	1.38054090667759e-05	0.634847312916498	0.411889057190157	0.7106568804426471	-0.7448388965496751	0.000856701259386858	no native effect	no native effect	-0.850780438980061	0.000223238458360931	-0.287723545399691	0.21583254868762602	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	no cis effect	-0.850780438980061	-0.502283585910563	0.00908458212335928	0.0532619943025754	0.8254550562785891	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	no trans effect	-0.502283585910563	0.52435532161813	0.40078930081717895	no cis/trans int. effect	no cis/trans int. effect
h.1217	chr12	54149866.0	enhancer	chr12:54149784-54149995	chr12:54149784-54149995__NEGATIVE	eRNA	0.172897	m.1089	chr15	102582723.0	enhancer	chr15:102582574-102582901	chr15:102582574-102582901__NEGATIVE	eRNA	0.0	tile1	human	eRNA	4.28920276975349	1.3011678077078899	1.4377686743112001	1.39279618942792	2.3884969955173396e-21	0.5959908554419899	0.213525922101706	0.494429465962166	-1.56754052330615	1.1643246964079901e-09	significant native effect	"native effect
(higher in human)"	-1.64607186367843	1.4179536213039801e-11	-0.589603640196294	0.0244741626188032	significant cis effect	no cis effect	"cis effect
(higher in human)"	no cis effect	significant cis effect	"cis effect
(higher in human)"	-1.64607186367843	-0.9981972632269519	1.1283996462660201e-08	0.0883203658968185	0.745305999767175	significant trans effect	no trans effect	"trans effect
(higher in human)"	no trans effect	significant trans effect	"trans effect
(higher in human)"	-0.9981972632269519	1.06364325153478	0.00951859944263767	significant cis/trans int. effect	"cis/trans int. effect
(higher in mouse)"
