cage_id_hg19	cage_id_mm9	tss_name_hg19	tss_name_mm9	biotype_hg19	biotype_mm9	chr_hg19	tss_coord_hg19	strand_hg19	chr_mm9	tss_coord_mm9	strand_mm9	max_cage_hg19	max_cage_mm9	stem_cage_hg19	stem_cage_mm9
chr10:127585118..127585175,+	chr7:140968540..140968585,+	ENSG00000203780.6	ENSMUSG00000053111.13	mRNA	mRNA	chr10	127585132	+	chr7	140968570	+	3688.0	942.0	2.94444	0.3
chr2:55459485..55459491,-	chr11:29448209..29448255,+	ENSG00000162994.11	ENSMUSG00000020461.10	mRNA	mRNA	chr2	55459488	-	chr11	29448221	+	1112.0	963.0	0.0	2.82125
chr11:93583726..93583807,-	chr9:15043510..15043599,+	ENSG00000214376.5	ENSMUSG00000031937.7	mRNA	mRNA	chr11	93583755	-	chr9	15043517	+	103.0	636.0	0.0144444	0.95875
chr13:36705507..36705530,-	chr3:55046508..55046567,+	ENSG00000133083.10	ENSMUSG00000027797.15	mRNA	mRNA	chr13	36705518	-	chr3	55046525	+	11230.0	15639.0	1.2111100000000001	0.1725
chr14:45722287..45722308,-	chr12:66273528..66273539,-	ENSG00000129534.9	ENSMUSG00000047534.16	mRNA	mRNA	chr14	45722300	-	chr12	66273533	-	5238.0	6326.0	1.6844400000000002	2.1525
chr2:201729366..201729392,-	chr1:58480851..58480872,-	ENSG00000013441.11	ENSMUSG00000026034.17	mRNA	mRNA	chr2	201729380	-	chr1	58480865	-	111241.0	142353.0	14.9967	51.9813
chr11:62380199..62380265,-	chr19:9004118..9004184,+	ENSG00000149499.7	ENSMUSG00000071647.4	mRNA	mRNA	chr11	62380217	-	chr19	9004171	+	16253.0	9001.0	3.60111	7.74625
chr4:2043709..2043757,+	chr5:34326128..34326178,+	ENSG00000243449.2	ENSMUSG00000070858.11	mRNA	mRNA	chr4	2043732	+	chr5	34326167	+	27952.0	38019.0	44.2533	3.355
chr9:79521045..79521056,-	chr19:17030554..17030565,+	ENSG00000106772.13	ENSMUSG00000039126.9	mRNA	mRNA	chr9	79521050	-	chr19	17030560	+	19919.0	9116.0	0.267778	0.01625
chr12:91505283..91505299,-	chr10:97028412..97028454,+	ENSG00000139329.4	ENSMUSG00000036446.5	mRNA	mRNA	chr12	91505288	-	chr10	97028422	+	150932.0	93043.0	0.366667	0.01625
chr4:57547751..57547764,-	chr5:77544108..77544119,-	ENSG00000171476.17	ENSMUSG00000059325.14	mRNA	mRNA	chr4	57547758	-	chr5	77544113	-	1105.0	1161.0	0.0	0.06
chr11:32456979..32456980,-	chr2:104966874..104966907,+	ENSG00000184937.8	ENSMUSG00000016458.14	mRNA	mRNA	chr11	32456979	-	chr2	104966884	+	583.0	1404.0	0.0	0.0775
chr14:55493729..55493740,-	chr14:47896467..47896523,-	ENSG00000198554.7	ENSMUSG00000037572.16	mRNA	mRNA	chr14	55493734	-	chr14	47896486	-	3664.0	14255.0	0.588889	26.3562
chr20:44563311..44563354,+	chr2:164704858..164704898,+	ENSG00000100982.7	ENSMUSG00000039849.5	mRNA	mRNA	chr20	44563336	+	chr2	164704882	+	17646.0	23047.0	25.2722	22.3913
chr15:69112510..69112523,-	chr9:62189896..62189919,+	ENSG00000140350.11	ENSMUSG00000032249.14	mRNA	mRNA	chr15	69112517	-	chr9	62189903	+	226.0	9057.0	0.0	3.16375
chr4:44728559..44728611,-	chr5:69983517..69983547,-	ENSG00000163281.7	ENSMUSG00000029209.15	mRNA	mRNA	chr4	44728572	-	chr5	69983531	-	22373.0	52111.0	2.41	15.3487
chr3:71632743..71632756,-	chr6:99472564..99472586,-	ENSG00000114861.14	ENSMUSG00000030067.17	mRNA	mRNA	chr3	71632749	-	chr6	99472569	-	3023.0	1074.0	0.21	0.0
chr11:129872712..129872755,-	chr9:31088110..31088151,+	ENSG00000170325.10	ENSMUSG00000042496.18	mRNA	mRNA	chr11	129872729	-	chr9	31088133	+	6615.0	8570.0	2.24556	4.86125
chr6:31620457..31620469,-	chr17:35272141..35272188,+	ENSG00000204463.8	ENSMUSG00000024392.17	mRNA	mRNA	chr6	31620463	-	chr17	35272159	+	70997.0	31081.0	4.07111	24.165
chr16:58035199..58035212,-	chr8:97856080..97856150,-	ENSG00000166188.2	ENSMUSG00000046556.7	mRNA	mRNA	chr16	58035204	-	chr8	97856104	-	1495.0	2810.0	0.11	1.1825
chr1:29213678..29213694,+	chr4:131631214..131631253,-	ENSG00000159023.14	ENSMUSG00000028906.16	mRNA	mRNA	chr1	29213683	+	chr4	131631227	-	8123.0	13819.0	0.281111	3.845
chr3:128902759..128902770,-	chr6:87801005..87801048,-	ENSG00000169714.12	ENSMUSG00000030057.15	mRNA	mRNA	chr3	128902764	-	chr6	87801015	-	299587.0	217222.0	72.8556	337.811
chr16:74330748..74330759,+	chr8:110112292..110112363,-	ENSG00000103035.6	ENSMUSG00000039067.5	mRNA	mRNA	chr16	74330753	+	chr8	110112328	-	77095.0	37783.0	8.91889	140.41
chr1:94586651..94586733,-	chr3:121747346..121747387,+	ENSG00000198691.7	ENSMUSG00000028125.14	mRNA	mRNA	chr1	94586702	-	chr3	121747365	+	913.0	371.0	0.0144444	0.02875
chr12:59989791..59989874,+	chr10:124826407..124826439,-	ENSG00000118596.7	ENSMUSG00000020102.15	mRNA	mRNA	chr12	59989860	+	chr10	124826427	-	4465.0	4561.0	1.06111	0.0
chr17:57232596..57232614,-	chr11:86922754..86922776,+	ENSG00000182628.8	ENSMUSG00000020492.11	mRNA	mRNA	chr17	57232601	-	chr11	86922762	+	11881.0	11188.0	1.40444	10.6138
chr1:86046433..86046453,+	chr3:145312934..145312956,-	ENSG00000142871.11	ENSMUSG00000028195.4	mRNA	mRNA	chr1	86046443	+	chr3	145312944	-	1853740.0	232868.0	89.5978	37.6125
chr10:112836589..112836607,+	chr19:54119555..54119572,+	ENSG00000150594.5	ENSMUSG00000033717.5	mRNA	mRNA	chr10	112836600	+	chr19	54119561	+	424.0	163.0	0.8711110000000001	0.01625
chr4:155702496..155702509,+	chr3:82680305..82680345,-	ENSG00000151962.3	ENSMUSG00000033882.15	mRNA	mRNA	chr4	155702499	+	chr3	82680337	-	38.0	522.0	0.0	0.1625
chr1:205912577..205912593,-	chr1:133640588..133640606,+	ENSG00000174502.14	ENSMUSG00000042268.10	mRNA	mRNA	chr1	205912583	-	chr1	133640598	+	1208.0	6994.0	0.057777800000000004	0.135
chr18:33709220..33709232,-	chr18:24761965..24762031,-	ENSG00000141424.8	ENSMUSG00000024270.11	mRNA	mRNA	chr18	33709222	-	chr18	24762015	-	2339.0	5026.0	0.0588889	0.35375
chr11:94134646..94134657,-	chr9:14664676..14664690,+	ENSG00000123901.4	ENSMUSG00000031932.14	mRNA	mRNA	chr11	94134651	-	chr9	14664682	+	260.0	5634.0	0.0	0.355
chr11:113644481..113644490,-	chr9:48863679..48863734,+	ENSG00000086827.4	ENSMUSG00000032264.9	mRNA	mRNA	chr11	113644484	-	chr9	48863685	+	3038.0	9110.0	0.14	15.5337
chr1:36023035..36023071,+	chr4:126430990..126431026,-	ENSG00000020129.11	ENSMUSG00000028833.13	mRNA	mRNA	chr1	36023042	+	chr4	126431009	-	829.0	4631.0	1.25889	1.46125
chr16:28222897..28222902,-	chr7:133343633..133343682,-	ENSG00000169180.7	ENSMUSG00000000131.15	mRNA	mRNA	chr16	28222899	-	chr7	133343679	-	803.0	248.0	0.213333	0.80625
chr7:45614264..45614317,+	chr11:6963735..6963761,+	ENSG00000164742.10	ENSMUSG00000020431.5	mRNA	mRNA	chr7	45614270	+	chr11	6963749	+	812.0	100.0	0.503333	0.0
chr2:86422618..86422629,-	chr6:71781319..71781404,+	ENSG00000132305.16	ENSMUSG00000052337.15	mRNA	mRNA	chr2	86422623	-	chr6	71781363	+	35322.0	50731.0	3.2288900000000003	140.4
chr2:172544294..172544307,+	chr2:71049998..71050053,+	ENSG00000077380.11	ENSMUSG00000027012.15	mRNA	mRNA	chr2	172544299	+	chr2	71050032	+	77919.0	40840.0	3.35	44.69
chr6:119215274..119215288,+	chr10:53316601..53316614,+	ENSG00000111875.7	ENSMUSG00000019857.7	mRNA	mRNA	chr6	119215279	+	chr10	53316608	+	14834.0	4470.0	2.66778	12.01
chr8:109799759..109799778,-	chr15:43701539..43701604,-	ENSG00000164841.4	ENSMUSG00000054409.4	mRNA	mRNA	chr8	109799766	-	chr15	43701574	-	802.0	1551.0	0.397778	1.5475
chr3:53164423..53164488,-	chr14:31467553..31467610,+	ENSG00000163933.5	ENSMUSG00000052395.15	mRNA	mRNA	chr3	53164450	-	chr14	31467578	+	23898.0	6193.0	19.3022	6.71375
chr16:3074009..3074020,-	chr17:23810865..23810954,+	ENSG00000103145.6	ENSMUSG00000023904.10	mRNA	mRNA	chr16	3074014	-	chr17	23810927	+	55101.0	135238.0	0.32	105.42399999999999
chr5:14581884..14581960,+	chr15:27611253..27611309,-	ENSG00000145569.5	ENSMUSG00000056069.8	mRNA	mRNA	chr5	14581949	+	chr15	27611298	-	7932.0	7585.0	4.65222	0.2925
chr12:14956396..14956444,-	chr6:136776645..136776700,-	ENSG00000084463.3	ENSMUSG00000030216.12	mRNA	mRNA	chr12	14956411	-	chr6	136776661	-	79395.0	24954.0	84.7156	76.9012
chr12:124457468..124457474,-	chr5:125342738..125342780,-	ENSG00000119242.4	ENSMUSG00000037979.13	mRNA	mRNA	chr12	124457468	-	chr5	125342772	-	1045.0	3298.0	0.0	2.945
chr19:49891522..49891530,+	chr7:52459838..52459874,-	ENSG00000161609.5	ENSMUSG00000038292.14	mRNA	mRNA	chr19	49891525	+	chr7	52459853	-	107.0	227.0	0.0	0.8475
chr7:139168402..139168431,-	chr6:38587220..38587247,-	ENSG00000188883.4	ENSMUSG00000071537.6	mRNA	mRNA	chr7	139168418	-	chr6	38587241	-	1621.0	681.0	4.46	0.6
chr3:48470838..48470867,-	chr9:108997941..108997967,+	ENSG00000164050.8	ENSMUSG00000053646.13	mRNA	mRNA	chr3	48470858	-	chr9	108997952	+	1864.0	2107.0	1.74222	0.4375
chr12:14924056..14924073,-	chr6:136752935..136752940,-	ENSG00000197837.3	ENSMUSG00000096010.2	mRNA	mRNA	chr12	14924064	-	chr6	136752937	-	328434.0	941382.0	321.35900000000004	786.9789999999999
chr19:531434..531448,+	chr10:79144529..79144558,+	ENSG00000099804.4	ENSMUSG00000020307.15	mRNA	mRNA	chr19	531439	+	chr10	79144537	+	816.0	7309.0	0.43333299999999997	18.9787
chr16:2933209..2933224,+	chr17:23923013..23923050,-	ENSG00000162076.8	ENSMUSG00000023911.12	mRNA	mRNA	chr16	2933215	+	chr17	23923026	-	32134.0	4700.0	6.5022199999999994	5.30125
chr3:73674085..73674099,-	chr6:101327996..101328010,-	ENSG00000121440.10	ENSMUSG00000035357.16	mRNA	mRNA	chr3	73674091	-	chr6	101328001	-	13328.0	10136.0	1.5	0.3825
chr20:45318157..45318168,-	chr2:165318798..165318830,-	ENSG00000172315.5	ENSMUSG00000039725.6	mRNA	mRNA	chr20	45318162	-	chr2	165318823	-	5160.0	4828.0	0.456667	2.72375
chr14:61747949..61747974,-	chr12:74647408..74647436,-	ENSG00000182107.5	ENSMUSG00000034435.5	mRNA	mRNA	chr14	61747955	-	chr12	74647423	-	4876.0	6839.0	0.66	3.77375
chr18:3219851..3219879,-	chr17:71368923..71368940,+	ENSG00000101605.8	ENSMUSG00000024049.14	mRNA	mRNA	chr18	3219864	-	chr17	71368930	+	8146.0	72733.0	0.0422222	0.0
chr11:66139128..66139152,-	chr19:5024042..5024155,+	ENSG00000174669.7	ENSMUSG00000024891.5	mRNA	mRNA	chr11	66139146	-	chr19	5024110	+	1362.0	2368.0	1.85444	14.1488
chr20:62462566..62462631,-	chr2:181194069..181194144,-	ENSG00000130584.6	ENSMUSG00000027583.13	mRNA	mRNA	chr20	62462616	-	chr2	181194110	-	2537.0	1738.0	2.9222200000000003	0.48625
chr10:103603534..103603566,-	chr19:45890497..45890566,-	ENSG00000120049.14	ENSMUSG00000025221.15	mRNA	mRNA	chr10	103603550	-	chr19	45890525	-	5965.0	2642.0	0.05666669999999999	0.45875
chr2:238768258..238768275,+	chr1:93076602..93076632,+	ENSG00000132329.6	ENSMUSG00000034353.14	mRNA	mRNA	chr2	238768265	+	chr1	93076624	+	36603.0	22684.0	0.05666669999999999	0.03125
chr1:87170247..87170276,+	chr3:144383240..144383271,-	ENSG00000097033.10	ENSMUSG00000037062.13	mRNA	mRNA	chr1	87170258	+	chr3	144383256	-	17674.0	6828.0	7.1311100000000005	2.54875
chr4:55095428..55095475,+	chr5:75548341..75548392,+	ENSG00000134853.7	ENSMUSG00000029231.15	mRNA	mRNA	chr4	55095459	+	chr5	75548359	+	35951.0	10030.0	0.995556	0.31375
chr3:196295468..196295494,-	chr16:32247307..32247369,+	ENSG00000185798.6	ENSMUSG00000022787.10	mRNA	mRNA	chr3	196295488	-	chr16	32247345	+	108.0	3141.0	0.0	7.84
chr1:145507587..145507615,+	chr3:96433842..96433878,+	ENSG00000131795.8	ENSMUSG00000038374.10	mRNA	mRNA	chr1	145507608	+	chr3	96433862	+	20152.0	12870.0	8.618889999999999	48.0225
chr3:4345010..4345032,+	chr6:108015029..108015047,+	ENSG00000170364.8	ENSMUSG00000034639.7	mRNA	mRNA	chr3	4345015	+	chr6	108015038	+	9911.0	3617.0	1.9933299999999998	3.4025
chr6:114178630..114178643,+	chr10:36858625..36858636,-	ENSG00000155130.5	ENSMUSG00000069662.5	mRNA	mRNA	chr6	114178637	+	chr10	36858630	-	47167.0	71955.0	10.0111	0.67
chr16:23194058..23194081,+	chr7:128877963..128877987,+	ENSG00000166828.2	ENSMUSG00000000216.8	mRNA	mRNA	chr16	23194066	+	chr7	128877972	+	3723.0	2589.0	1.5722200000000002	0.0
chr10:85954317..85954331,+	chr14:37911397..37911466,-	ENSG00000148600.10	ENSMUSG00000021803.9	mRNA	mRNA	chr10	85954325	+	chr14	37911436	-	1394.0	464.0	0.455556	1.27
chr18:47814032..47814079,-	chr18:74376000..74376061,+	ENSG00000154832.10	ENSMUSG00000024560.6	mRNA	mRNA	chr18	47814061	-	chr18	74376040	+	21866.0	1006.0	17.7456	3.0025
chr1:181057828..181057846,+	chr1:156946760..156946763,-	ENSG00000162783.8	ENSMUSG00000056708.5	mRNA	mRNA	chr1	181057835	+	chr1	156946761	-	205937.0	117908.0	11.4467	3.75125
chr12:10365624..10365644,+	chr6:129483386..129483419,+	ENSG00000139112.6	ENSMUSG00000030161.8	mRNA	mRNA	chr12	10365629	+	chr6	129483393	+	4672.0	27779.0	1.21222	0.87375
chr21:46825032..46825091,+	chr10:76629246..76629269,-	ENSG00000182871.10	ENSMUSG00000001435.15	mRNA	mRNA	chr21	46825079	+	chr10	76629261	-	60138.0	78811.0	83.6856	105.624
chr7:92158083..92158131,+	chr5:3596071..3596118,-	ENSG00000127993.10	ENSMUSG00000040302.17	mRNA	mRNA	chr7	92158120	+	chr5	3596087	-	17202.0	4041.0	7.82333	11.5825
chr17:27071020..27071063,+	chr11:77979023..77979053,-	ENSG00000076604.10	ENSMUSG00000017386.10	mRNA	mRNA	chr17	27071028	+	chr11	77979044	-	96230.0	54776.0	60.0167	36.0512
chr2:179345173..179345221,+	chr2:76513347..76513378,+	ENSG00000116095.6	ENSMUSG00000002733.8	mRNA	mRNA	chr2	179345203	+	chr2	76513358	+	2087.0	7890.0	2.15778	4.9675
chr12:96588279..96588299,+	chr10:92773708..92773734,-	ENSG00000111145.3	ENSMUSG00000008398.14	mRNA	mRNA	chr12	96588287	+	chr10	92773719	-	13581.0	2209.0	0.437778	0.7375
chr12:116715340..116715396,-	chr5:119010367..119010462,+	ENSG00000123066.3	ENSMUSG00000018076.12	mRNA	mRNA	chr12	116715357	-	chr5	119010444	+	7420.0	575.0	3.68444	1.05375
chr17:46692624..46692659,-	chr11:96143666..96143725,+	ENSG00000120068.5	ENSMUSG00000056648.5	mRNA	mRNA	chr17	46692641	-	chr11	96143693	+	599.0	2973.0	0.132222	0.0325
chr11:33061220..33061238,+	chr2:104552279..104552337,-	ENSG00000176148.11	ENSMUSG00000027175.10	mRNA	mRNA	chr11	33061225	+	chr2	104552289	-	1323.0	7416.0	0.143333	2.22875
chr1:235813875..235813884,-	chr13:13876285..13876335,+	ENSG00000168243.6	ENSMUSG00000021303.13	mRNA	mRNA	chr1	235813878	-	chr13	13876300	+	531.0	479.0	0.196667	0.01625
chr1:38100589..38100599,-	chr4:124663701..124663734,+	ENSG00000169218.9	ENSMUSG00000028871.7	mRNA	mRNA	chr1	38100594	-	chr4	124663727	+	885.0	2689.0	0.0	0.8825
chr4:2757745..2757756,-	chr5:34856352..34856363,-	ENSG00000168884.10	ENSMUSG00000059866.13	mRNA	mRNA	chr4	2757750	-	chr5	34856357	-	903.0	229.0	0.4	0.0
chr12:5153106..5153117,+	chr6:126485442..126485470,-	ENSG00000130037.3	ENSMUSG00000045534.4	mRNA	mRNA	chr12	5153111	+	chr6	126485455	-	310.0	476.0	0.07111110000000001	0.0
chr8:126103969..126104048,-	chr15:59205704..59205754,-	ENSG00000164961.11	ENSMUSG00000022350.6	mRNA	mRNA	chr8	126103997	-	chr15	59205741	-	9450.0	21905.0	12.92	41.1588
chr9:33473882..33473927,-	chr4:41071257..41071318,-	ENSG00000165271.12	ENSMUSG00000028430.14	mRNA	mRNA	chr9	33473895	-	chr4	41071290	-	10252.0	13265.0	20.2889	38.71
chr16:84224740..84224746,+	chr8:122136601..122136632,+	ENSG00000140955.6	ENSMUSG00000024266.8	mRNA	mRNA	chr16	84224743	+	chr8	122136612	+	162.0	135.0	0.0133333	2.865
chr14:68162464..68162494,-	chr12:80292826..80292848,-	ENSG00000072042.8	ENSMUSG00000066441.14	mRNA	mRNA	chr14	68162475	-	chr12	80292841	-	83617.0	21330.0	38.9744	24.4087
chr5:156569754..156569775,-	chr11:46250444..46250519,+	ENSG00000135077.4	ENSMUSG00000020397.15	mRNA	mRNA	chr5	156569761	-	chr11	46250483	+	721.0	11305.0	0.623333	41.495
chr20:30946272..30946281,+	chr2:153171726..153171809,+	ENSG00000171456.12	ENSMUSG00000042548.13	mRNA	mRNA	chr20	30946276	+	chr2	153171769	+	13416.0	4711.0	0.17444400000000002	4.80125
chr8:101571942..101571951,-	chr15:36426477..36426563,-	ENSG00000186106.7	ENSMUSG00000048307.7	mRNA	mRNA	chr8	101571946	-	chr15	36426531	-	26960.0	11685.0	0.8466670000000001	16.4775
chr15:44719970..44719991,+	chr2:121782387..121782400,+	ENSG00000137770.9	ENSMUSG00000033411.16	mRNA	mRNA	chr15	44719986	+	chr2	121782394	+	160.0	96.0	0.0877778	0.0
chr2:10588497..10588512,-	chr12:17551700..17551757,+	ENSG00000115758.8	ENSMUSG00000011179.7	mRNA	mRNA	chr2	10588502	-	chr12	17551734	+	64551.0	5472.0	2.44778	17.6425
chr2:24583168..24583179,-	chr12:4599942..4599953,+	ENSG00000198399.10	ENSMUSG00000020640.10	mRNA	mRNA	chr2	24583173	-	chr12	4599947	+	414.0	391.0	0.147778	0.06625
chr19:34972650..34972677,+	chr7:34918234..34918316,-	ENSG00000142279.8	ENSMUSG00000036459.15	mRNA	mRNA	chr19	34972663	+	chr7	34918297	-	7605.0	2587.0	2.97222	14.3812
chr11:107799118..107799197,+	chr9:53514316..53514356,-	ENSG00000179331.2	ENSMUSG00000055069.3	mRNA	mRNA	chr11	107799173	+	chr9	53514323	-	5047.0	4144.0	3.6911099999999997	0.7375
chr13:45151548..45151569,-	chr14:76814539..76814600,+	ENSG00000102804.10	ENSMUSG00000022010.19	mRNA	mRNA	chr13	45151563	-	chr14	76814574	+	1563.0	13455.0	0.0811111	8.4075
chr5:143550159..143550236,-	chr18:40378978..40379023,-	ENSG00000145817.12	ENSMUSG00000024487.4	mRNA	mRNA	chr5	143550215	-	chr18	40379011	-	38861.0	48351.0	32.4956	30.515
chr9:125133293..125133309,+	chr2:36086012..36086065,+	ENSG00000095303.10	ENSMUSG00000047250.13	mRNA	mRNA	chr9	125133302	+	chr2	36086019	+	61012.0	67467.0	0.5711109999999999	0.68
chr19:1040096..1040161,+	chr10:79459224..79459250,+	ENSG00000064687.8	ENSMUSG00000035722.15	mRNA	mRNA	chr19	1040114	+	chr10	79459242	+	8367.0	13666.0	4.54333	3.1925
chr17:47287749..47287777,+	chr11:95703768..95703797,-	ENSG00000108798.4	ENSMUSG00000018381.15	mRNA	mRNA	chr17	47287763	+	chr11	95703776	-	2203.0	2865.0	0.793333	0.205
chr16:4665023..4665047,-	chr16:4879849..4879864,-	ENSG00000153443.8	ENSMUSG00000039568.6	mRNA	mRNA	chr16	4665042	-	chr16	4879855	-	1650.0	67322.0	3.8422199999999997	1.21375
chr11:10829851..10829860,-	chr7:118225961..118226020,-	ENSG00000110321.11	ENSMUSG00000005610.17	mRNA	mRNA	chr11	10829855	-	chr7	118225994	-	54.0	293.0	0.0	0.0325
chr9:6413215..6413237,+	chr19:30104929..30105018,+	ENSG00000147854.12	ENSMUSG00000024817.13	mRNA	mRNA	chr9	6413226	+	chr19	30105009	+	21745.0	28168.0	7.85	30.2212
chr12:71314446..71314530,-	chr10:115455408..115455477,+	ENSG00000153233.8	ENSMUSG00000020151.16	mRNA	mRNA	chr12	71314511	-	chr10	115455418	+	2115.0	1629.0	0.16	0.07875
chr14:102430855..102430894,+	chr12:111839669..111839687,+	ENSG00000197102.6	ENSMUSG00000018707.13	mRNA	mRNA	chr14	102430869	+	chr12	111839680	+	276636.0	109409.0	7.3066699999999996	30.5787
chrX:14891150..14891201,-	chrX:161418592..161418656,+	ENSG00000181544.9	ENSMUSG00000047757.16	mRNA	mRNA	chrX	14891180	-	chrX	161418634	+	2729.0	833.0	12.1711	5.4475
chr7:134212226..134212234,+	chr6:34304125..34304151,+	ENSG00000198074.5	ENSMUSG00000029762.6	mRNA	mRNA	chr7	134212229	+	chr6	34304145	+	110.0	11099.0	0.0	1.645
chr9:124922021..124922074,-	chr2:35904797..35904877,-	ENSG00000119421.5	ENSMUSG00000026895.7	mRNA	mRNA	chr9	124922057	-	chr2	35904843	-	52069.0	37786.0	39.1889	29.0862
chr6:117996621..117996640,+	chr10:52137338..52137386,+	ENSG00000153989.7	ENSMUSG00000023068.16	mRNA	mRNA	chr6	117996631	+	chr10	52137364	+	1737.0	5819.0	1.1044399999999999	6.07375
chr1:27816556..27816572,-	chr4:132686449..132686505,+	ENSG00000158195.6	ENSMUSG00000028868.13	mRNA	mRNA	chr1	27816563	-	chr4	132686479	+	4257.0	44109.0	1.16222	34.92
chr17:12569199..12569216,+	chr11:65083486..65083504,-	ENSG00000141052.13	ENSMUSG00000020542.18	mRNA	mRNA	chr17	12569206	+	chr11	65083496	-	3302.0	7433.0	0.202222	0.03125
chr16:54320158..54320200,-	chr8:94325321..94325366,-	ENSG00000177508.11	ENSMUSG00000031734.13	mRNA	mRNA	chr16	54320194	-	chr8	94325327	-	1720.0	2470.0	1.14222	0.06
chr3:8811038..8811045,-	chr6:112440825..112440838,-	ENSG00000180914.6	ENSMUSG00000049112.9	mRNA	mRNA	chr3	8811041	-	chr6	112440832	-	537.0	161.0	0.0744444	0.0
chr9:6015607..6015634,-	chr19:29887442..29887464,-	ENSG00000137040.8	ENSMUSG00000074909.4	mRNA	mRNA	chr9	6015614	-	chr19	29887456	-	26131.0	14581.0	13.36	2.435
chr3:39509089..39509101,+	chr9:120058851..120058866,+	ENSG00000168314.13	ENSMUSG00000032517.16	mRNA	mRNA	chr3	39509094	+	chr9	120058859	+	4748.0	138034.0	0.0	5.0825
chr4:184365841..184365861,+	chr8:48799274..48799292,-	ENSG00000168564.5	ENSMUSG00000038069.6	mRNA	mRNA	chr4	184365846	+	chr8	48799282	-	2928.0	15707.0	2.33111	8.05625
chr8:74903696..74903725,+	chr1:16678540..16678552,+	ENSG00000154589.2	ENSMUSG00000025779.10	mRNA	mRNA	chr8	74903716	+	chr1	16678545	+	1600.0	31165.0	0.0	0.0625
chr22:42343092..42343107,-	chr15:82075118..82075145,-	ENSG00000100162.10	ENSMUSG00000068101.10	mRNA	mRNA	chr22	42343098	-	chr15	82075123	-	7701.0	14498.0	1.57333	65.1088
chr1:40367530..40367597,-	chr4:122673278..122673336,+	ENSG00000116990.9	ENSMUSG00000028654.13	mRNA	mRNA	chr1	40367551	-	chr4	122673318	+	1200.0	2374.0	8.768889999999999	3.085
chr21:47648665..47648736,-	chr10:75994338..75994380,+	ENSG00000160285.10	ENSMUSG00000033105.12	mRNA	mRNA	chr21	47648687	-	chr10	75994353	+	72227.0	14030.0	36.7789	17.3212
chr19:10713112..10713198,+	chr9:21125164..21125251,+	ENSG00000129353.10	ENSMUSG00000057193.8	mRNA	mRNA	chr19	10713132	+	chr9	21125191	+	26844.0	27733.0	20.06	9.035
chr6:116421976..116422054,+	chr10:34138271..34138373,-	ENSG00000178425.9	ENSMUSG00000039480.14	mRNA	mRNA	chr6	116422015	+	chr10	34138333	-	21930.0	13122.0	37.7389	14.5537
chr10:135186836..135186871,-	chr7:147302294..147302327,-	ENSG00000127884.4	ENSMUSG00000025465.13	mRNA	mRNA	chr10	135186844	-	chr7	147302306	-	52374.0	52773.0	52.27	87.8825
chr10:73723965..73724042,+	chr10:59682046..59682093,-	ENSG00000122863.5	ENSMUSG00000057337.13	mRNA	mRNA	chr10	73723993	+	chr10	59682070	-	5377.0	1470.0	1.6788900000000002	0.44375
chr19:3708376..3708393,+	chr10:80753972..80754027,-	ENSG00000105289.10	ENSMUSG00000034917.8	mRNA	mRNA	chr19	3708381	+	chr10	80754013	-	1753.0	4329.0	0.028888900000000002	5.7325
chr2:183731495..183731507,-	chr2:80287215..80287229,-	ENSG00000162998.4	ENSMUSG00000027004.3	mRNA	mRNA	chr2	183731501	-	chr2	80287221	-	730.0	7898.0	0.0722222	0.01625
chr1:145576028..145576076,+	chr3:96501023..96501088,+	ENSG00000131788.11	ENSMUSG00000028101.18	mRNA	mRNA	chr1	145576033	+	chr3	96501037	+	11443.0	3616.0	3.6644400000000004	10.5725
chr17:42634933..42634941,+	chr11:102465833..102465846,+	ENSG00000180340.5	ENSMUSG00000050288.6	mRNA	mRNA	chr17	42634936	+	chr11	102465839	+	971.0	8047.0	1.09	0.93125
chr17:73717407..73717423,+	chr11:115836297..115836365,+	ENSG00000132470.9	ENSMUSG00000020758.15	mRNA	mRNA	chr17	73717412	+	chr11	115836309	+	2681.0	6065.0	0.0	1.26375
chr8:29940475..29940486,-	chr8:35217716..35217740,+	ENSG00000133872.9	ENSMUSG00000031532.6	mRNA	mRNA	chr8	29940480	-	chr8	35217723	+	18584.0	33835.0	4.01778	0.1575
chr15:83316794..83316812,-	chr7:88599637..88599650,-	ENSG00000214575.5	ENSMUSG00000025586.17	mRNA	mRNA	chr15	83316800	-	chr7	88599643	-	424.0	413.0	0.143333	0.65625
chr17:79995603..79995613,-	chr11:120588540..120588606,-	ENSG00000169738.3	ENSMUSG00000039450.11	mRNA	mRNA	chr17	79995607	-	chr11	120588572	-	247162.0	15885.0	0.49333299999999997	9.2775
chr1:218519541..218519558,+	chr1:188529143..188529174,-	ENSG00000092969.7	ENSMUSG00000039239.14	mRNA	mRNA	chr1	218519552	+	chr1	188529152	-	2024.0	12912.0	0.0	0.38125
chr4:39640599..39640610,-	chr5:65884164..65884209,-	ENSG00000163683.7	ENSMUSG00000105835.1	mRNA	mRNA	chr4	39640604	-	chr5	65884180	-	6439.0	4982.0	0.473333	6.6025
chrX:112083964..112083975,-	chrX:141939679..141939702,-	ENSG00000126016.9	ENSMUSG00000041688.16	mRNA	mRNA	chrX	112083969	-	chrX	141939691	-	1722.0	41752.0	0.314444	11.4013
