hg19_id	mm9_id	cage_id_hg19	cage_id_mm9	name_peak_hg19	name_peak_mm9	biotype_hg19	biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9	chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	max_cage_hg19	max_cage_mm9	orig_species	har	tss_tile_num_max_hg19	tss_tile_num_max_mm9	n_tiles_hg19	n_tiles_mm9	tile_match
h.629	m.515	chrX:49687267..49687288,+	chrX:6896417..6896457,-	ENSG00000171365.11	ENSMUSG00000004317.14	protein_coding	protein_coding	mRNA	mRNA	chrX	49687276	49687277	+	chrX	6896433	6896434	-	2.03	5.09	1.07333	2.345	3410.0	4373.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.630	m.516	chrX:35937843..35937868,+	chrX:76762672..76762715,-	ENSG00000165164.8	ENSMUSG00000073077.6	protein_coding	protein_coding	mRNA	mRNA	chrX	35937850	35937851	+	chrX	76762679	76762680	-	0.18	0.36	0.0544444	0.37625	418.0	283.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.631	m.517	chr10:88126224..88126238,-	chr14:35633281..35633339,+	ENSG00000182771.13	ENSMUSG00000041078.6	protein_coding	protein_coding	mRNA	mRNA	chr10	88126229	88126230	-	chr14	35633291	35633292	+	0.12	0.43	0.0	0.0325	501.0	232.0	human	False					
h.632	m.518	chr6:135501708..135501716,+	chr10:20881397..20881465,-	ENSG00000118513.14	ENSMUSG00000019982.15	protein_coding	protein_coding	mRNA	mRNA	chr6	135501710	135501711	+	chr10	20881440	20881441	-	0.36	0.56	0.31	0.0175	493.0	493.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.633	m.519	chr19:46366392..46366430,-	chr7:19609736..19609788,+	ENSG00000125755.14	ENSMUSG00000023118.15	protein_coding	protein_coding	mRNA	mRNA	chr19	46366404	46366405	-	chr7	19609761	19609762	+	31.63	38.66	24.4944	34.1537	52349.0	22794.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.634	m.520	chr22:18632879..18632890,+	chr6:121195947..121195964,+	ENSG00000184979.9	ENSMUSG00000030107.10	protein_coding	protein_coding	mRNA	mRNA	chr22	18632884	18632885	+	chr6	121195954	121195955	+	0.92	38.72	0.0	0.04875	3705.0	106112.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.635	m.521	chr6:41514078..41514158,+	chr17:48061584..48061601,-	ENSG00000137166.10	ENSMUSG00000023991.16	protein_coding	protein_coding	mRNA	mRNA	chr6	41514135	41514136	+	chr17	48061593	48061594	-	12.66	5.62	10.3522	7.14625	17478.0	16836.0	human	False	tile2	tile2	1.0	1.0	tile2:tile2
h.636	m.522	chr6:42110342..42110365,-	chr17:47573565..47573588,+	ENSG00000188112.4	ENSMUSG00000034382.14	protein_coding	protein_coding	mRNA	mRNA	chr6	42110352	42110353	-	chr17	47573578	47573579	+	5.59	8.29	27.4033	4.18875	11161.0	12230.0	human	False	tile1		2.0		
h.637	m.523	chr20:10654451..10654491,-	chr2:136942360..136942364,-	ENSG00000101384.7	ENSMUSG00000027276.7	protein_coding	protein_coding	mRNA	mRNA	chr20	10654478	10654479	-	chr2	136942362	136942363	-	0.21	6.1	0.07111110000000001	1.2425	249.0	19367.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.638	m.524	chr22:44351304..44351330,+	chr15:84022653..84022690,+	ENSG00000100347.10	ENSMUSG00000022437.6	protein_coding	protein_coding	mRNA	mRNA	chr22	44351321	44351322	+	chr15	84022669	84022670	+	5.17	47.72	8.335560000000001	76.9813	15076.0	27246.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.639	m.525	chr18:74206750..74206777,-	chr18:83080718..83080725,+	ENSG00000101493.6	ENSMUSG00000058881.12	protein_coding	protein_coding	mRNA	mRNA	chr18	74206764	74206765	-	chr18	83080721	83080722	+	1.2	1.02	0.528889	0.2925	2532.0	2176.0	human	False	tile1	tile2	1.0	2.0	tile1:tile2
h.640	m.526	chr9:4792880..4792902,+	chr19:29175877..29175928,+	ENSG00000120158.7	ENSMUSG00000024785.6	protein_coding	protein_coding	mRNA	mRNA	chr9	4792885	4792886	+	chr19	29175904	29175905	+	0.76	30.31	1.84	55.65	6820.0	20225.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.641	m.527	chr11:66234337..66234424,+	chr19:4943049..4943101,-	ENSG00000174516.10	ENSMUSG00000024901.14	protein_coding	protein_coding	mRNA	mRNA	chr11	66234381	66234382	+	chr19	4943063	4943064	-	5.74	3.12	3.69444	1.13375	6998.0	3700.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.642	m.528	chr2:183903133..183903210,-	chr2:80421391..80421423,-	ENSG00000061676.10	ENSMUSG00000027002.13	protein_coding	protein_coding	mRNA	mRNA	chr2	183903144	183903145	-	chr2	80421407	80421408	-	23.13	12.51	39.8978	19.3637	29151.0	18395.0	human	False					
h.643	m.529	chr1:43736292..43736303,+	chr4:118216615..118216671,-	ENSG00000179178.6	ENSMUSG00000050854.9	protein_coding	protein_coding	mRNA	mRNA	chr1	43736297	43736298	+	chr4	118216630	118216631	-	0.14	1.29	0.855556	2.82	2042.0	760.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.644	m.530	chr20:30865429..30865480,+	chr2:153117140..153117195,+	ENSG00000101350.6	ENSMUSG00000027475.9	protein_coding	protein_coding	mRNA	mRNA	chr20	30865458	30865459	+	chr2	153117171	153117172	+	11.79	16.57	4.39444	5.98	16402.0	11741.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.645	m.531	chr2:210636642..210636655,+	chr1:66514799..66514838,+	ENSG00000144406.14	ENSMUSG00000055567.17	protein_coding	protein_coding	mRNA	mRNA	chr2	210636649	210636650	+	chr1	66514816	66514817	+	0.08	0.74	0.0	0.12625	356.0	605.0	human	False	tile2	tile1	1.0	1.0	tile1:tile2
h.646	m.532	chr4:105416161..105416174,-	chr3:133899295..133899337,+	ENSG00000168772.9	ENSMUSG00000044365.15	protein_coding	protein_coding	mRNA	mRNA	chr4	105416168	105416169	-	chr3	133899307	133899308	+	0.11	0.52	0.057777800000000004	0.07875	403.0	370.0	human	False	tile1	tile1	2.0	1.0	tile1:tile1
h.647	m.533	chr14:64855114..64855123,+	chr12:77356358..77356423,+	ENSG00000100714.11	ENSMUSG00000021048.7	protein_coding	protein_coding	mRNA	mRNA	chr14	64855118	64855119	+	chr12	77356407	77356408	+	0.18	21.38	0.36888899999999997	71.3963	32823.0	12212.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.648	m.534	chr17:63557734..63557745,-	chr11:108781713..108781807,+	ENSG00000168646.8	ENSMUSG00000000142.15	protein_coding	protein_coding	mRNA	mRNA	chr17	63557739	63557740	-	chr11	108781775	108781776	+	0.16	1.7	0.23222199999999998	1.04875	1515.0	775.0	human	False	tile2	tile1	1.0	1.0	tile1:tile2
h.649	m.535	chr20:35374467..35374513,-	chr2:156817757..156817855,-	ENSG00000101079.16	ENSMUSG00000027634.14	protein_coding	protein_coding	mRNA	mRNA	chr20	35374489	35374490	-	chr2	156817812	156817813	-	14.81	67.23	8.09667	28.8438	12337.0	19965.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.650	m.536	chr2:26257206..26257229,+	chr12:3309551..3309674,-	ENSG00000084733.6	ENSMUSG00000020671.9	protein_coding	protein_coding	mRNA	mRNA	chr2	26257218	26257219	+	chr12	3309621	3309622	-	1.23	17.67	1.04778	1.565	1728.0	5058.0	human	False	tile1		2.0		
h.651	m.537	chr11:108464403..108464414,-	chr9:53109611..53109626,+	ENSG00000110723.7	ENSMUSG00000034584.3	protein_coding	protein_coding	mRNA	mRNA	chr11	108464409	108464410	-	chr9	53109620	53109621	+	0.08	0.22	0.12	0.0475	1282.0	274.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.652	m.538	chr17:77704836..77704841,+	chr11:118849487..118849506,+	ENSG00000182156.5	ENSMUSG00000046697.16	protein_coding	protein_coding	mRNA	mRNA	chr17	77704839	77704840	+	chr11	118849494	118849495	+	0.01	9.58	0.057777800000000004	0.0	650.0	12820.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.653	m.539	chr4:46995484..46995588,-	chr5:72049197..72049228,-	ENSG00000109158.6	ENSMUSG00000029211.11	protein_coding	protein_coding	mRNA	mRNA	chr4	46995548	46995549	-	chr5	72049219	72049220	-	1.71	0.46	0.0	0.1725	1134.0	751.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.654	m.540	chrX:77041657..77041668,-	chrX:103124643..103124660,-	ENSG00000085224.16	ENSMUSG00000031229.16	protein_coding	protein_coding	mRNA	mRNA	chrX	77041662	77041663	-	chrX	103124649	103124650	-	1.15	5.47	1.38889	26.0087	49380.0	23928.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.655	m.541	chr14:69726342..69726428,+	chr12:81619544..81619562,+	ENSG00000100626.12	ENSMUSG00000021130.8	protein_coding	protein_coding	mRNA	mRNA	chr14	69726358	69726359	+	chr12	81619549	81619550	+	0.45	0.16	0.33222199999999996	0.0325	331.0	376.0	human	False	tile1	tile1	1.0	2.0	tile1:tile1
h.656	m.542	chr8:123794030..123794037,+	chr15:57526316..57526332,+	ENSG00000178764.6	ENSMUSG00000071757.10	protein_coding	protein_coding	mRNA	mRNA	chr8	123794033	123794034	+	chr15	57526325	57526326	+	0.11	1.65	0.0	0.1675	3692.0	2727.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.657	m.543	chr6:46620482..46620492,-	chr17:43804338..43804342,+	ENSG00000146233.3	ENSMUSG00000023963.9	protein_coding	protein_coding	mRNA	mRNA	chr6	46620486	46620487	-	chr17	43804340	43804341	+	0.05	1.07	0.0177778	2.2225	995.0	4803.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.658	m.544	chr15:40763150..40763253,+	chr2:118752232..118752290,+	ENSG00000169105.6	ENSMUSG00000074916.5	protein_coding	protein_coding	mRNA	mRNA	chr15	40763204	40763205	+	chr2	118752265	118752266	+	9.11	6.8	6.2522199999999994	0.73875	3572.0	4866.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.659	m.545	chr9:116840569..116840588,-	chr4:62815164..62815184,-	ENSG00000106927.7	ENSMUSG00000028356.4	protein_coding	protein_coding	mRNA	mRNA	chr9	116840579	116840580	-	chr4	62815175	62815176	-	28.25	136.1	0.11555599999999999	0.0	111105.0	185216.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.660	m.546	chr5:149979871..149979915,+	chr18:60808581-60809087	ENSG00000171992.8	chr18:60808581-60809087__NEGATIVE	protein_coding	enhancer	mRNA	eRNA	chr5	149979886	149979887	+	chr18	60808723	60808724	-	0.55	1.2402600000000001	0.0	0.437881	478.0	425.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.661	m.547	chr7:100081058..100081102,+	chr5:138182829..138182845,-	ENSG00000166924.4	ENSMUSG00000045348.16	protein_coding	protein_coding	mRNA	mRNA	chr7	100081096	100081097	+	chr5	138182834	138182835	-	0.27	0.47	0.08666669999999999	0.13125	502.0	691.0	human	False		tile1		2.0	
h.662	m.548	chr10:127585118..127585175,+	chr7:140968540..140968585,+	ENSG00000203780.6	ENSMUSG00000053111.13	protein_coding	protein_coding	mRNA	mRNA	chr10	127585132	127585133	+	chr7	140968570	140968571	+	3.24	2.01	2.94444	0.3	3688.0	942.0	human	False	tile1	tile1	1.0	1.0	tile1:tile1
h.663	m.549	chr2:55459485..55459491,-	chr11:29448209..29448255,+	ENSG00000162994.11	ENSMUSG00000020461.10	protein_coding	protein_coding	mRNA	mRNA	chr2	55459488	55459489	-	chr11	29448221	29448222	+	0.04	1.54	0.0	2.82125	1112.0	963.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.664	m.550	chr11:93583726..93583807,-	chr9:15043510..15043599,+	ENSG00000214376.5	ENSMUSG00000031937.7	protein_coding	protein_coding	mRNA	mRNA	chr11	93583755	93583756	-	chr9	15043517	15043518	+	0.19	1.31	0.0144444	0.95875	103.0	636.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.665	m.551	chr13:36705507..36705530,-	chr3:55046508..55046567,+	ENSG00000133083.10	ENSMUSG00000027797.15	protein_coding	protein_coding	mRNA	mRNA	chr13	36705518	36705519	-	chr3	55046525	55046526	+	4.85	15.64	1.2111100000000001	0.1725	11230.0	15639.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.666	m.552	chr14:45722287..45722308,-	chr12:66273528..66273539,-	ENSG00000129534.9	ENSMUSG00000047534.16	protein_coding	protein_coding	mRNA	mRNA	chr14	45722300	45722301	-	chr12	66273533	66273534	-	1.72	0.8	1.6844400000000002	2.1525	5238.0	6326.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.667	m.553	chr2:201729366..201729392,-	chr1:58480851..58480872,-	ENSG00000013441.11	ENSMUSG00000026034.17	protein_coding	protein_coding	mRNA	mRNA	chr2	201729380	201729381	-	chr1	58480865	58480866	-	53.16	53.12	14.9967	51.9813	111241.0	142353.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.668	m.554	chr11:62380199..62380265,-	chr19:9004118..9004184,+	ENSG00000149499.7	ENSMUSG00000071647.4	protein_coding	protein_coding	mRNA	mRNA	chr11	62380217	62380218	-	chr19	9004171	9004172	+	15.74	18.99	3.60111	7.74625	16253.0	9001.0	human	False	tile2	tile2	1.0	2.0	tile2:tile2
h.669	m.555	chr4:2043709..2043757,+	chr5:34326128..34326178,+	ENSG00000243449.2	ENSMUSG00000070858.11	protein_coding	protein_coding	mRNA	mRNA	chr4	2043732	2043733	+	chr5	34326167	34326168	+	56.04	26.68	44.2533	3.355	27952.0	38019.0	human	False	tile1	tile2	1.0	1.0	tile1:tile2
h.670	m.556	chr9:79521045..79521056,-	chr19:17030554..17030565,+	ENSG00000106772.13	ENSMUSG00000039126.9	protein_coding	protein_coding	mRNA	mRNA	chr9	79521050	79521051	-	chr19	17030560	17030561	+	0.92	0.08	0.267778	0.01625	19919.0	9116.0	human	False		tile1		1.0	
h.671	m.557	chr12:91505283..91505299,-	chr10:97028412..97028454,+	ENSG00000139329.4	ENSMUSG00000036446.5	protein_coding	protein_coding	mRNA	mRNA	chr12	91505288	91505289	-	chr10	97028422	97028423	+	7.21	44.0	0.366667	0.01625	150932.0	93043.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.672	m.558	chr4:57547751..57547764,-	chr5:77544108..77544119,-	ENSG00000171476.17	ENSMUSG00000059325.14	protein_coding	protein_coding	mRNA	mRNA	chr4	57547758	57547759	-	chr5	77544113	77544114	-	0.48	0.32	0.0	0.06	1105.0	1161.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.673	m.559	chr11:32456979..32456980,-	chr2:104966874..104966907,+	ENSG00000184937.8	ENSMUSG00000016458.14	protein_coding	protein_coding	mRNA	mRNA	chr11	32456979	32456980	-	chr2	104966884	104966885	+	0.01	0.68	0.0	0.0775	583.0	1404.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.674	m.560	chr14:55493729..55493740,-	chr14:47896467..47896523,-	ENSG00000198554.7	ENSMUSG00000037572.16	protein_coding	protein_coding	mRNA	mRNA	chr14	55493734	55493735	-	chr14	47896486	47896487	-	0.11	12.99	0.588889	26.3562	3664.0	14255.0	human	False	tile1	tile2	2.0	1.0	tile1:tile2
h.675	m.561	chr20:44563311..44563354,+	chr2:164704858..164704898,+	ENSG00000100982.7	ENSMUSG00000039849.5	protein_coding	protein_coding	mRNA	mRNA	chr20	44563336	44563337	+	chr2	164704882	164704883	+	26.29	47.2	25.2722	22.3913	17646.0	23047.0	human	False	tile2	tile2	1.0	1.0	tile2:tile2
h.676	m.562	chr15:69112510..69112523,-	chr9:62189896..62189919,+	ENSG00000140350.11	ENSMUSG00000032249.14	protein_coding	protein_coding	mRNA	mRNA	chr15	69112517	69112518	-	chr9	62189903	62189904	+	0.1	4.41	0.0	3.16375	226.0	9057.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.677	m.563	chr4:44728559..44728611,-	chr5:69983517..69983547,-	ENSG00000163281.7	ENSMUSG00000029209.15	protein_coding	protein_coding	mRNA	mRNA	chr4	44728572	44728573	-	chr5	69983531	69983532	-	11.54	18.04	2.41	15.3487	22373.0	52111.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.678	m.564	chr3:71632743..71632756,-	chr6:99472564..99472586,-	ENSG00000114861.14	ENSMUSG00000030067.17	protein_coding	protein_coding	mRNA	mRNA	chr3	71632749	71632750	-	chr6	99472569	99472570	-	0.76	0.58	0.21	0.0	3023.0	1074.0	human	False	tile2		1.0		
h.679	m.565	chr11:129872712..129872755,-	chr9:31088110..31088151,+	ENSG00000170325.10	ENSMUSG00000042496.18	protein_coding	protein_coding	mRNA	mRNA	chr11	129872729	129872730	-	chr9	31088133	31088134	+	3.03	5.29	2.24556	4.86125	6615.0	8570.0	human	False	tile1	tile1	4.0	4.0	tile1:tile1
h.680	m.566	chr6:31620457..31620469,-	chr17:35272141..35272188,+	ENSG00000204463.8	ENSMUSG00000024392.17	protein_coding	protein_coding	mRNA	mRNA	chr6	31620463	31620464	-	chr17	35272159	35272160	+	3.48	29.88	4.07111	24.165	70997.0	31081.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.681	m.567	chr16:58035199..58035212,-	chr8:97856080..97856150,-	ENSG00000166188.2	ENSMUSG00000046556.7	protein_coding	protein_coding	mRNA	mRNA	chr16	58035204	58035205	-	chr8	97856104	97856105	-	0.27	5.06	0.11	1.1825	1495.0	2810.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.682	m.568	chr1:29213678..29213694,+	chr4:131631214..131631253,-	ENSG00000159023.14	ENSMUSG00000028906.16	protein_coding	protein_coding	mRNA	mRNA	chr1	29213683	29213684	+	chr4	131631227	131631228	-	1.42	7.33	0.281111	3.845	8123.0	13819.0	human	False	tile2	tile1	2.0	2.0	tile1:tile2
h.683	m.569	chr3:128902759..128902770,-	chr6:87801005..87801048,-	ENSG00000169714.12	ENSMUSG00000030057.15	protein_coding	protein_coding	mRNA	mRNA	chr3	128902764	128902765	-	chr6	87801015	87801016	-	29.26	255.26	72.8556	337.811	299587.0	217222.0	human	False	tile2	tile1	2.0	1.0	tile1:tile2
h.684	m.570	chr16:74330748..74330759,+	chr8:110112292..110112363,-	ENSG00000103035.6	ENSMUSG00000039067.5	protein_coding	protein_coding	mRNA	mRNA	chr16	74330753	74330754	+	chr8	110112328	110112329	-	3.54	81.25	8.91889	140.41	77095.0	37783.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.685	m.571	chr1:94586651..94586733,-	chr3:121747346..121747387,+	ENSG00000198691.7	ENSMUSG00000028125.14	protein_coding	protein_coding	mRNA	mRNA	chr1	94586702	94586703	-	chr3	121747365	121747366	+	0.53	0.47	0.0144444	0.02875	913.0	371.0	human	False	tile1	tile2	2.0	2.0	tile1:tile2
h.686	m.572	chr12:59989791..59989874,+	chr10:124826407..124826439,-	ENSG00000118596.7	ENSMUSG00000020102.15	protein_coding	protein_coding	mRNA	mRNA	chr12	59989860	59989861	+	chr10	124826427	124826428	-	7.59	2.4	1.06111	0.0	4465.0	4561.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.687	m.573	chr17:57232596..57232614,-	chr11:86922754..86922776,+	ENSG00000182628.8	ENSMUSG00000020492.11	protein_coding	protein_coding	mRNA	mRNA	chr17	57232601	57232602	-	chr11	86922762	86922763	+	2.4	5.01	1.40444	10.6138	11881.0	11188.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.688	m.574	chr1:86046433..86046453,+	chr3:145312934..145312956,-	ENSG00000142871.11	ENSMUSG00000028195.4	protein_coding	protein_coding	mRNA	mRNA	chr1	86046443	86046444	+	chr3	145312944	145312945	-	402.6	126.44	89.5978	37.6125	1853740.0	232868.0	human	False	tile1	tile2	2.0	1.0	tile1:tile2
h.689	m.575	chr10:112836589..112836607,+	chr19:54119555..54119572,+	ENSG00000150594.5	ENSMUSG00000033717.5	protein_coding	protein_coding	mRNA	mRNA	chr10	112836600	112836601	+	chr19	54119561	54119562	+	0.21	0.1	0.8711110000000001	0.01625	424.0	163.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.690	m.576	chr4:155702496..155702509,+	chr3:82680305..82680345,-	ENSG00000151962.3	ENSMUSG00000033882.15	protein_coding	protein_coding	mRNA	mRNA	chr4	155702499	155702500	+	chr3	82680337	82680338	-	0.01	0.67	0.0	0.1625	38.0	522.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.691	m.577	chr1:205912577..205912593,-	chr1:133640588..133640606,+	ENSG00000174502.14	ENSMUSG00000042268.10	protein_coding	protein_coding	mRNA	mRNA	chr1	205912583	205912584	-	chr1	133640598	133640599	+	0.45	3.11	0.057777800000000004	0.135	1208.0	6994.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.692	m.578	chr18:33709220..33709232,-	chr18:24761965..24762031,-	ENSG00000141424.8	ENSMUSG00000024270.11	protein_coding	protein_coding	mRNA	mRNA	chr18	33709222	33709223	-	chr18	24762015	24762016	-	0.19	9.1	0.0588889	0.35375	2339.0	5026.0	human	False	tile1	tile2	1.0	2.0	tile1:tile2
h.693	m.579	chr11:94134646..94134657,-	chr9:14664676..14664690,+	ENSG00000123901.4	ENSMUSG00000031932.14	protein_coding	protein_coding	mRNA	mRNA	chr11	94134651	94134652	-	chr9	14664682	14664683	+	0.04	1.93	0.0	0.355	260.0	5634.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.694	m.580	chr11:113644481..113644490,-	chr9:48863679..48863734,+	ENSG00000086827.4	ENSMUSG00000032264.9	protein_coding	protein_coding	mRNA	mRNA	chr11	113644484	113644485	-	chr9	48863685	48863686	+	0.23	10.21	0.14	15.5337	3038.0	9110.0	human	False	tile1		2.0		
h.695	m.581	chr1:36023035..36023071,+	chr4:126430990..126431026,-	ENSG00000020129.11	ENSMUSG00000028833.13	protein_coding	protein_coding	mRNA	mRNA	chr1	36023042	36023043	+	chr4	126431009	126431010	-	0.69	4.78	1.25889	1.46125	829.0	4631.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.696	m.582	chr16:28222897..28222902,-	chr7:133343633..133343682,-	ENSG00000169180.7	ENSMUSG00000000131.15	protein_coding	protein_coding	mRNA	mRNA	chr16	28222899	28222900	-	chr7	133343679	133343680	-	0.34	0.22	0.213333	0.80625	803.0	248.0	human	False	tile1	tile2	1.0	1.0	tile1:tile2
h.697	m.583	chr7:45614264..45614317,+	chr11:6963735..6963761,+	ENSG00000164742.10	ENSMUSG00000020431.5	protein_coding	protein_coding	mRNA	mRNA	chr7	45614270	45614271	+	chr11	6963749	6963750	+	0.85	0.14	0.503333	0.0	812.0	100.0	human	False					
h.698	m.584	chr2:86422618..86422629,-	chr6:71781319..71781404,+	ENSG00000132305.16	ENSMUSG00000052337.15	protein_coding	protein_coding	mRNA	mRNA	chr2	86422623	86422624	-	chr6	71781363	71781364	+	1.68	96.11	3.2288900000000003	140.4	35322.0	50731.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.699	m.585	chr2:172544294..172544307,+	chr2:71049998..71050053,+	ENSG00000077380.11	ENSMUSG00000027012.15	protein_coding	protein_coding	mRNA	mRNA	chr2	172544299	172544300	+	chr2	71050032	71050033	+	3.46	50.73	3.35	44.69	77919.0	40840.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.700	m.586	chr6:119215274..119215288,+	chr10:53316601..53316614,+	ENSG00000111875.7	ENSMUSG00000019857.7	protein_coding	protein_coding	mRNA	mRNA	chr6	119215279	119215280	+	chr10	53316608	53316609	+	0.72	2.35	2.66778	12.01	14834.0	4470.0	human	False	tile1		1.0		
h.701	m.587	chr8:109799759..109799778,-	chr15:43701539..43701604,-	ENSG00000164841.4	ENSMUSG00000054409.4	protein_coding	protein_coding	mRNA	mRNA	chr8	109799766	109799767	-	chr15	43701574	43701575	-	0.26	2.26	0.397778	1.5475	802.0	1551.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
h.702	m.588	chr3:53164423..53164488,-	chr14:31467553..31467610,+	ENSG00000163933.5	ENSMUSG00000052395.15	protein_coding	protein_coding	mRNA	mRNA	chr3	53164450	53164451	-	chr14	31467578	31467579	+	18.51	10.76	19.3022	6.71375	23898.0	6193.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.703	m.589	chr16:3074009..3074020,-	chr17:23810865..23810954,+	ENSG00000103145.6	ENSMUSG00000023904.10	protein_coding	protein_coding	mRNA	mRNA	chr16	3074014	3074015	-	chr17	23810927	23810928	+	1.36	235.94	0.32	105.42399999999999	55101.0	135238.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.704	m.590	chr5:14581884..14581960,+	chr15:27611253..27611309,-	ENSG00000145569.5	ENSMUSG00000056069.8	protein_coding	protein_coding	mRNA	mRNA	chr5	14581949	14581950	+	chr15	27611298	27611299	-	7.78	15.49	4.65222	0.2925	7932.0	7585.0	human	False		tile1		1.0	
h.705	m.591	chr12:14956396..14956444,-	chr6:136776645..136776700,-	ENSG00000084463.3	ENSMUSG00000030216.12	protein_coding	protein_coding	mRNA	mRNA	chr12	14956411	14956412	-	chr6	136776661	136776662	-	53.66	42.06	84.7156	76.9012	79395.0	24954.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.706	m.592	chr12:124457468..124457474,-	chr5:125342738..125342780,-	ENSG00000119242.4	ENSMUSG00000037979.13	protein_coding	protein_coding	mRNA	mRNA	chr12	124457468	124457469	-	chr5	125342772	125342773	-	0.13	2.99	0.0	2.945	1045.0	3298.0	human	False		tile2		2.0	
h.707	m.593	chr19:49891522..49891530,+	chr7:52459838..52459874,-	ENSG00000161609.5	ENSMUSG00000038292.14	protein_coding	protein_coding	mRNA	mRNA	chr19	49891525	49891526	+	chr7	52459853	52459854	-	0.01	0.45	0.0	0.8475	107.0	227.0	human	False	tile2	tile2	2.0	2.0	tile2:tile2
h.708	m.594	chr7:139168402..139168431,-	chr6:38587220..38587247,-	ENSG00000188883.4	ENSMUSG00000071537.6	protein_coding	protein_coding	mRNA	mRNA	chr7	139168418	139168419	-	chr6	38587241	38587242	-	0.61	0.63	4.46	0.6	1621.0	681.0	human	False	tile1	tile1	2.0	2.0	tile1:tile1
h.709	m.595	chr3:48470838..48470867,-	chr9:108997941..108997967,+	ENSG00000164050.8	ENSMUSG00000053646.13	protein_coding	protein_coding	mRNA	mRNA	chr3	48470858	48470859	-	chr9	108997952	108997953	+	1.55	2.04	1.74222	0.4375	1864.0	2107.0	human	False		tile2		1.0	
h.710	m.596	chr12:14924056..14924073,-	chr6:136752935..136752940,-	ENSG00000197837.3	ENSMUSG00000096010.2	protein_coding	protein_coding	mRNA	mRNA	chr12	14924064	14924065	-	chr6	136752937	136752938	-	98.93	468.18	321.35900000000004	786.9789999999999	328434.0	941382.0	human	False	tile1	tile2	2.0	1.0	tile1:tile2
h.711	m.597	chr19:531434..531448,+	chr10:79144529..79144558,+	ENSG00000099804.4	ENSMUSG00000020307.15	protein_coding	protein_coding	mRNA	mRNA	chr19	531439	531440	+	chr10	79144537	79144538	+	0.31	4.67	0.43333299999999997	18.9787	816.0	7309.0	human	False	tile2	tile1	1.0	2.0	tile1:tile2
