chr_tss_hg19	start_tss_hg19	end_tss_hg19	strand_tss_hg19	cage_id_hg19	biotype_hg19	name_peak_hg19	seq_orth	cage_orth	chr_tss_mm9	start_tss_mm9	end_tss_mm9	strand_tss_mm9	cage_id_mm9	biotype_mm9	name_peak_mm9	avg_exp_hg19	avg_exp_mm9	stem_exp_hg19	stem_exp_mm9	har	orig_species	lift_species	oligo_type	hg19_id	mm9_id	cleaner_biotype_hg19	cleaner_biotype_mm9	minimal_biotype_hg19	minimal_biotype_mm9
chr7	143078439	143078440	+	chr7:143078379..143078454,+	div_pc	ENSG00000159840.11	True	True	chr6	42300053	42300054	+	chr6:42299999..42300075,+	protein_coding	ENSMUSG00000029860.16	316.84	122.58	147.262	17.855	False	human	mouse	human__protein_coding:mouse__protein_coding	h.860	m.744	div. mRNA	mRNA	mRNA	mRNA
chr19	38865191	38865192	+	chr19:38865188..38865195,+	protein_coding	ENSG00000099341.7	True	True	chr7	29965689	29965690	-	chr7:29965670..29965708,-	protein_coding	ENSMUSG00000030591.17	0.01	1.79	0.0	1.04875	False	human	mouse	human__protein_coding:mouse__protein_coding	h.861	m.745	mRNA	mRNA	mRNA	mRNA
chr20	33680656	33680657	-	chr20:33680656..33680658,-	protein_coding	ENSG00000100991.7	True	True	chr2	155518067	155518068	-	chr2:155518053..155518075,-	protein_coding	ENSMUSG00000038324.13	0.62	70.17	0.6888890000000001	22.6113	False	human	mouse	human__protein_coding:mouse__protein_coding	h.862	m.746	mRNA	mRNA	mRNA	mRNA
chr17	57784926	57784927	+	chr17:57784918..57784932,+	div_pc	ENSG00000062716.6	True	True	chr11	86497482	86497483	-	chr11:86497477..86497488,-	div_pc	ENSMUSG00000018171.9	0.81	0.4	0.156667	0.135	False	human	mouse	human__protein_coding:mouse__protein_coding	h.864	m.748	div. mRNA	div. mRNA	mRNA	mRNA
chr6	46459126	46459127	-	chr6:46459112..46459132,-	other_pc	ENSG00000172348.10	True	True	chr17	43938786	43938787	+	chr17:43938772..43938812,+	protein_coding	ENSMUSG00000039601.15	1.16	3.48	0.10666700000000001	0.42875	False	human	mouse	human__protein_coding:mouse__protein_coding	h.865	m.749	other mRNA	mRNA	mRNA	mRNA
chr12	12966294	12966295	+	chr12:12966271..12966302,+	protein_coding	ENSG00000213782.3	True	True	chr6	134961637	134961638	+	chr6:134961627..134961658,+	protein_coding	ENSMUSG00000030204.10	47.9	26.52	65.6022	10.19	False	human	mouse	human__protein_coding:mouse__protein_coding	h.866	m.750	mRNA	mRNA	mRNA	mRNA
chr19	11200169	11200170	+	chr19:11200163..11200180,+	protein_coding	ENSG00000130164.7	True	True	chr9	21528082	21528083	+	chr9:21528068..21528101,+	other_pc	ENSMUSG00000032193.9	8.74	43.18	6.2477800000000006	24.8137	False	human	mouse	human__protein_coding:mouse__protein_coding	h.867	m.751	mRNA	other mRNA	mRNA	mRNA
chr7	142630842	142630843	-	chr7:142630837..142630848,-	protein_coding	ENSG00000127412.2	True	True	chr6	41630811	41630812	-	chr6:41630807..41630817,-	protein_coding	ENSMUSG00000036899.10	0.03	0.02	0.0	0.0475	False	human	mouse	human__protein_coding:mouse__protein_coding	h.868	m.752	mRNA	mRNA	mRNA	mRNA
chr9	135230310	135230311	-	chr9:135230305..135230319,-	protein_coding	ENSG00000107290.9	True	True	chr2	28980675	28980676	+	chr2:28980663..28980698,+	protein_coding	ENSMUSG00000043535.13	1.79	13.74	1.39222	24.0725	False	human	mouse	human__protein_coding:mouse__protein_coding	h.870	m.754	mRNA	mRNA	mRNA	mRNA
chr14	57277165	57277166	-	chr14:57277163..57277168,-	protein_coding	ENSG00000165588.12	True	True	chr14	49287204	49287205	-	chr14:49287186..49287225,-	protein_coding	ENSMUSG00000021848.15	0.23	2.68	0.34777800000000003	2.2175	False	human	mouse	human__protein_coding:mouse__protein_coding	h.871	m.755	mRNA	mRNA	mRNA	mRNA
chr9	135906386	135906387	+	chr9:135906375..135906393,+	protein_coding	ENSG00000148308.13	True	True	chr2	28438508	28438509	-	chr2:28438497..28438516,-	protein_coding	ENSMUSG00000026816.14	23.53	9.86	34.8067	11.8025	False	human	mouse	human__protein_coding:mouse__protein_coding	h.873	m.757	mRNA	mRNA	mRNA	mRNA
chr4	62066948	62066949	+	chr4:62066941..62066992,+	protein_coding	ENSG00000150471.11	True	True	chr5	81449777	81449778	+	chr5:81449771..81449786,+	protein_coding	ENSMUSG00000037605.16	1.01	2.2	0.486667	0.02875	False	human	mouse	human__protein_coding:mouse__protein_coding	h.874	m.758	mRNA	mRNA	mRNA	mRNA
chr3	129158994	129158995	+	chr3:129158926..129159006,+	div_pc	ENSG00000163913.7	True	True	chr6	115803591	115803592	+	chr6:115803566..115803616,+	div_pc	ENSMUSG00000030323.13	4.0	9.15	3.5966699999999996	4.57	False	human	mouse	human__protein_coding:mouse__protein_coding	h.875	m.759	div. mRNA	div. mRNA	mRNA	mRNA
chr5	153857821	153857822	-	chr5:153857819..153857824,-	protein_coding	ENSG00000113196.2	True	True	chr11	57645515	57645516	-	chr11:57645506..57645523,-	protein_coding	ENSMUSG00000037335.13	0.11	19.02	0.132222	1.56125	False	human	mouse	human__protein_coding:mouse__protein_coding	h.876	m.760	mRNA	mRNA	mRNA	mRNA
chr1	2985607	2985608	+	chr1:2985566..2985608,+	div_pc	ENSG00000142611.12	True	True	chr4	154011077	154011078	-	chr4:154011072..154011095,-	div_pc	ENSMUSG00000039410.16	0.11	0.19	0.0144444	0.0	False	human	mouse	human__protein_coding:mouse__protein_coding	h.877	m.761	div. mRNA	div. mRNA	mRNA	mRNA
chr1	19536692	19536693	-	chr1:19536687..19536695,-	div_pc	ENSG00000127481.10	True	True	chr4	138936588	138936589	+	chr4:138936573..138936599,+	unassigned	unassigned	0.05	69.09	0.0455556	29.3637	False	human	mouse	human__protein_coding:mouse__unassigned	h.880	m.764	div. mRNA	other	mRNA	other
chr1	20512044	20512045	+	chr1:20512041..20512054,+	div_pc	ENSG00000162543.5	True	False	chr4	138281608	138281609	-	no cage activity	no cage activity	no cage activity	0.02	no cage activity	0.0	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.881	m.765	div. mRNA	no CAGE activity	mRNA	no CAGE activity
chr1	39325408	39325409	-	chr1:39325359..39325425,-	div_pc	ENSG00000116954.7	True	True	chr4	123594709	123594710	+	chr4:123594663..123594753,+	div_pc	ENSMUSG00000028646.16	7.39	52.14	3.5033300000000005	17.3287	False	human	mouse	human__protein_coding:mouse__protein_coding	h.882	m.766	div. mRNA	div. mRNA	mRNA	mRNA
chr1	43424538	43424539	-	chr1:43424531..43424546,-	div_pc	ENSG00000117394.15	True	True	chr4	118781408	118781409	+	chr4:118781400..118781417,+	protein_coding	ENSMUSG00000028645.11	127.72	189.84	174.99	607.2909999999999	False	human	mouse	human__protein_coding:mouse__protein_coding	h.883	m.767	div. mRNA	mRNA	mRNA	mRNA
chr1	84543635	84543636	+	chr1:84543631..84543646,+	div_pc	ENSG00000142875.15	True	True	chr3	146475971	146475972	-	chr3:146475952..146475977,-	protein_coding	ENSMUSG00000005034.15	0.6	0.92	0.5444439999999999	0.745	False	human	mouse	human__protein_coding:mouse__protein_coding	h.885	m.769	div. mRNA	mRNA	mRNA	mRNA
chr1	85742050	85742051	-	chr1:85742041..85742067,-	div_pc	ENSG00000142867.8	True	True	chr3	145587315	145587316	+	chr3:145587267..145587342,+	unassigned	unassigned	4.94	53.55	6.904439999999999	33.1875	False	human	mouse	human__protein_coding:mouse__unassigned	h.886	m.770	div. mRNA	other	mRNA	other
chr1	93811463	93811464	+	chr1:93811438..93811548,+	div_pc	ENSG00000117505.8	True	True	chr5	108697963	108697964	+	chr5:108697948..108697999,+	protein_coding	ENSMUSG00000029265.4	48.33	32.98	50.7644	38.5613	False	human	mouse	human__protein_coding:mouse__protein_coding	h.888	m.772	div. mRNA	mRNA	mRNA	mRNA
chr1	101491317	101491318	-	chr1:101491313..101491322,-	div_pc	ENSG00000117543.15	True	True	chr3	115591082	115591083	+	chr3:115591057..115591118,+	div_pc	ENSMUSG00000033554.17	0.56	11.95	1.16111	19.96	False	human	mouse	human__protein_coding:mouse__protein_coding	h.891	m.775	div. mRNA	div. mRNA	mRNA	mRNA
chr1	101701755	101701756	+	chr1:101701748..101701763,+	div_pc	ENSG00000170989.8	True	False	chr3	115418478	115418479	-	no cage activity	no cage activity	no cage activity	0.39	no cage activity	0.10444400000000001	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.892	m.776	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr1	113615819	113615820	+	chr1:113615794..113615884,+	div_pc	ENSG00000198799.7	True	True	chr3	104315809	104315810	-	chr3:104315735..104315856,-	multi-mapped	ENSMUSG00000032913.13,ENSMUSG00000105659.1	12.51	10.91	21.0011	7.45625	False	human	mouse	human__protein_coding:mouse__multi-mapped	h.893	m.777	div. mRNA	other	mRNA	other
chr1	117602980	117602981	+	chr1:117602977..117602984,+	div_pc	ENSG00000116830.7	True	True	chr3	100773585	100773586	-	chr3:100773567..100773599,-	protein_coding	ENSMUSG00000033222.16	0.1	9.43	0.11	32.0662	False	human	mouse	human__protein_coding:mouse__protein_coding	h.894	m.778	div. mRNA	mRNA	mRNA	mRNA
chr1	119682750	119682751	-	chr1:119682743..119682756,-	div_pc	ENSG00000116874.7	True	False	chr3	98945513	98945514	+	no cage activity	no cage activity	no cage activity	0.09	no cage activity	0.0	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.895	m.779	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr1	151762905	151762906	-	chr1:151762900..151762910,-	div_pc	ENSG00000182134.11	True	True	chr3	94217210	94217211	+	chr3:94217166..94217218,+	multi-mapped	ENSMUSG00000041912.12,ENSMUSG00000106032.1	0.19	4.86	0.242222	2.19	False	human	mouse	human__protein_coding:mouse__multi-mapped	h.896	m.780	div. mRNA	other	mRNA	other
chr1	153949706	153949707	-	chr1:153949683..153949712,-	div_pc	ENSG00000143543.10	True	False	chr3	90035900	90035901	+	no cage activity	no cage activity	no cage activity	0.29	no cage activity	0.223333	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.897	m.781	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr1	179851230	179851231	+	chr1:179851224..179851247,+	div_pc	ENSG00000143337.14	True	False	chr1	157883752	157883753	-	no cage activity	no cage activity	no cage activity	0.81	no cage activity	0.128889	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.899	m.783	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr1	200638943	200638944	-	chr1:200638938..200638950,-	div_pc	ENSG00000118197.9	True	True	chr1	138311892	138311893	+	chr1:138311866..138311914,+	div_pc	ENSMUSG00000026404.12	0.21	4.65	0.17111099999999999	9.32	False	human	mouse	human__protein_coding:mouse__protein_coding	h.901	m.785	div. mRNA	div. mRNA	mRNA	mRNA
chr1	203274646	203274647	+	chr1:203274639..203274654,+	div_pc	ENSG00000159388.5	True	True	chr1	135975693	135975694	-	chr1:135975691..135975696,-	protein_coding	ENSMUSG00000020423.6	176.14	79.0	14.7222	23.5013	False	human	mouse	human__protein_coding:mouse__protein_coding	h.904	m.788	div. mRNA	mRNA	mRNA	mRNA
chr1	229644073	229644074	-	chr1:229644034..229644123,-	div_pc	ENSG00000069248.9	True	True	chr8	126473176	126473177	-	chr8:126473101..126473187,-	div_pc	ENSMUSG00000039509.8	42.2	24.5	69.7822	67.7088	False	human	mouse	human__protein_coding:mouse__protein_coding	h.905	m.789	div. mRNA	div. mRNA	mRNA	mRNA
chr10	75255277	75255278	-	chr10:75255272..75255287,-	div_pc	ENSG00000107758.11	True	False	chr14	21365303	21365304	-	no cage activity	no cage activity	no cage activity	0.14	no cage activity	0.0466667	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.908	m.792	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr10	81838814	81838815	+	chr10:81838798..81838845,+	div_pc	ENSG00000133678.9	True	False	chr14	26746658	26746659	-	no cage activity	no cage activity	no cage activity	0.58	no cage activity	0.0722222	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.909	m.793	div. mRNA	no CAGE activity	mRNA	no CAGE activity
chr10	93558136	93558137	+	chr10:93558113..93558154,+	div_pc	ENSG00000107854.5	True	True	chr19	36908713	36908714	+	chr19:36908705..36908787,+	protein_coding	ENSMUSG00000024811.11	4.26	64.31	6.21333	101.926	False	human	mouse	human__protein_coding:mouse__protein_coding	h.910	m.794	div. mRNA	mRNA	mRNA	mRNA
chr10	99094240	99094241	-	chr10:99094236..99094266,-	div_pc	ENSG00000181274.5	True	False	chr19	41922315	41922316	-	no cage activity	no cage activity	no cage activity	3.12	no cage activity	2.11667	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.911	m.795	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr10	112631552	112631553	+	chr10:112631547..112631558,+	div_pc	ENSG00000150593.11	True	True	chr19	53977737	53977738	+	chr19:53977724..53977767,+	unassigned	unassigned	0.7	2.63	0.516667	4.25875	False	human	mouse	human__protein_coding:mouse__unassigned	h.912	m.796	div. mRNA	other	mRNA	other
chr11	32456847	32456848	-	chr11:32456842..32456852,-	div_pc	ENSG00000184937.8	True	True	chr2	104966949	104966950	+	chr2:104966933..104966966,+	div_pc	ENSMUSG00000016458.14	0.05	0.47	0.0	0.05125	False	human	mouse	human__protein_coding:mouse__protein_coding	h.913	m.797	div. mRNA	div. mRNA	mRNA	mRNA
chr11	82782840	82782841	-	chr11:82782834..82782850,-	div_pc	ENSG00000137502.5	True	True	chr7	99890215	99890216	+	chr7:99890142..99890225,+	div_pc	ENSMUSG00000030643.14	2.03	8.27	0.796667	6.7475	False	human	mouse	human__protein_coding:mouse__protein_coding	h.915	m.799	div. mRNA	div. mRNA	mRNA	mRNA
chr11	82904753	82904754	+	chr11:82904746..82904832,+	div_pc	ENSG00000137494.9	True	True	chr7	99785610	99785611	-	chr7:99785589..99785657,-	div_pc	ENSMUSG00000041343.19	11.64	3.99	4.318890000000001	1.51	False	human	mouse	human__protein_coding:mouse__protein_coding	h.916	m.800	div. mRNA	div. mRNA	mRNA	mRNA
chr11	118868764	118868765	+	chr11:118868756..118868770,+	div_pc	ENSG00000186166.4	True	True	chr9	44226121	44226122	-	chr9:44226113..44226139,-	protein_coding	ENSMUSG00000043923.8	0.53	1.52	0.103333	1.915	False	human	mouse	human__protein_coding:mouse__protein_coding	h.918	m.802	div. mRNA	mRNA	mRNA	mRNA
chr11	125461663	125461664	+	chr11:125461650..125461670,+	div_pc	ENSG00000134910.8	True	False	chr9	36576183	36576184	-	no cage activity	no cage activity	no cage activity	0.62	no cage activity	0.0744444	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.919	m.803	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr12	49393157	49393158	-	chr12:49393148..49393164,-	div_pc	ENSG00000181418.7	True	True	chr15	98638330	98638331	-	chr15:98638321..98638339,-	other_pc	ENSMUSG00000059213.6	0.54	0.52	0.0	0.0	False	human	mouse	human__protein_coding:mouse__protein_coding	h.922	m.806	div. mRNA	other mRNA	mRNA	mRNA
chr12	66524528	66524529	-	chr12:66524517..66524541,-	div_pc	ENSG00000139233.2	True	True	chr10	119664121	119664122	+	chr10:119664086..119664137,+	protein_coding	ENSMUSG00000020224.15	43.16	42.99	44.4167	63.445	False	human	mouse	human__protein_coding:mouse__protein_coding	h.924	m.808	div. mRNA	mRNA	mRNA	mRNA
chr12	70636648	70636649	+	chr12:70636621..70636676,+	div_pc	ENSG00000111596.7	True	True	chr10	116019186	116019187	-	chr10:116019179..116019195,-	protein_coding	ENSMUSG00000020166.15	0.64	0.12	0.291111	0.2525	False	human	mouse	human__protein_coding:mouse__protein_coding	h.925	m.809	div. mRNA	mRNA	mRNA	mRNA
chr12	113909638	113909639	-	chr12:113909632..113909646,-	div_pc	ENSG00000089116.3	True	True	chr5	120881942	120881943	+	chr5:120881939..120881946,+	div_pc	ENSMUSG00000029595.9	0.14	0.11	0.44444399999999995	0.01625	False	human	mouse	human__protein_coding:mouse__protein_coding	h.928	m.812	div. mRNA	div. mRNA	mRNA	mRNA
chr12	120638909	120638910	-	chr12:120638905..120638915,-	div_pc	ENSG00000089157.11	True	True	chr5	116009521	116009522	+	chr5:116009514..116009528,+	protein_coding	ENSMUSG00000067274.10	362.55	58.1	493.25300000000004	124.57799999999999	False	human	mouse	human__protein_coding:mouse__protein_coding	h.929	m.813	div. mRNA	mRNA	mRNA	mRNA
chr12	122018125	122018126	-	chr12:122018114..122018137,-	div_pc	ENSG00000089094.12	True	True	chr5	123439103	123439104	-	chr5:123439095..123439120,-	div_pc	ENSMUSG00000029475.17	0.49	2.22	9.31222	3.59375	False	human	mouse	human__protein_coding:mouse__protein_coding	h.930	m.814	div. mRNA	div. mRNA	mRNA	mRNA
chr12	130646537	130646538	+	chr12:130646534..130646542,+	div_pc	ENSG00000111432.4	True	False	chr5	129106383	129106384	+	no cage activity	no cage activity	no cage activity	0.01	no cage activity	0.0744444	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.931	m.815	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr13	46626129	46626130	-	chr13:46626128..46626132,-	div_pc	ENSG00000123200.12	True	False	chr14	75684836	75684837	+	no cage activity	no cage activity	no cage activity	0.6	no cage activity	0.38111100000000003	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.934	m.817	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr14	23235896	23235897	+	chr14:23235886..23235913,+	div_pc	ENSG00000155463.8	True	True	chr14	54980524	54980525	+	chr14:54980510..54980535,+	protein_coding	ENSMUSG00000000959.6	85.84	72.66	85.5378	74.4663	False	human	mouse	human__protein_coding:mouse__protein_coding	h.936	m.819	div. mRNA	mRNA	mRNA	mRNA
chr14	23388314	23388315	-	chr14:23388304..23388326,-	div_pc	ENSG00000100461.13	True	False	chr14	55124929	55124930	-	no cage activity	no cage activity	no cage activity	2.13	no cage activity	1.12667	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.937	m.820	div. mRNA	no CAGE activity	mRNA	no CAGE activity
chr14	35451887	35451888	+	chr14:35451880..35451920,+	div_pc	ENSG00000100883.7	True	True	chr12	56181214	56181215	+	chr12:56181201..56181222,+	unassigned	unassigned	3.95	0.85	8.03778	1.34	False	human	mouse	human__protein_coding:mouse__unassigned	h.938	m.821	div. mRNA	other	mRNA	other
chr15	40075030	40075031	-	chr15:40074996..40075059,-	div_pc	ENSG00000150667.6	True	True	chr2	118082691	118082692	-	chr2:118082665..118082709,-	protein_coding	ENSMUSG00000027344.13	0.79	0.86	0.673333	0.50625	False	human	mouse	human__protein_coding:mouse__protein_coding	h.942	m.825	div. mRNA	mRNA	mRNA	mRNA
chr15	42500501	42500502	-	chr15:42500475..42500523,-	div_pc	ENSG00000166887.11	True	True	chr2	120178856	120178857	-	chr2:120178830..120178879,-	protein_coding	ENSMUSG00000027291.15	23.11	18.06	15.1789	7.64625	False	human	mouse	human__protein_coding:mouse__protein_coding	h.943	m.826	div. mRNA	mRNA	mRNA	mRNA
chr15	50647029	50647030	-	chr15:50647015..50647042,-	div_pc	ENSG00000104064.12	True	True	chr2	126500970	126500971	-	chr2:126500960..126501004,-	unassigned	unassigned	1.29	4.2	1.05111	1.07875	False	human	mouse	human__protein_coding:mouse__unassigned	h.944	m.827	div. mRNA	other	mRNA	other
chr15	69591250	69591251	+	chr15:69591235..69591299,+	div_pc	ENSG00000137819.9	True	True	chr9	61874609	61874610	-	chr9:61874595..61874640,-	protein_coding	ENSMUSG00000032278.11	2.86	2.95	2.5211099999999997	0.3325	False	human	mouse	human__protein_coding:mouse__protein_coding	h.945	m.828	div. mRNA	mRNA	mRNA	mRNA
chr15	69706622	69706623	+	chr15:69706617..69706641,+	div_pc	ENSG00000137807.9	True	True	chr9	61794543	61794544	-	chr9:61794537..61794551,-	protein_coding	ENSMUSG00000032254.10	1.58	11.82	2.49778	38.7713	False	human	mouse	human__protein_coding:mouse__protein_coding	h.946	m.829	div. mRNA	mRNA	mRNA	mRNA
chr15	72766153	72766154	+	chr15:72766145..72766163,+	div_pc	ENSG00000166233.8	True	False	chr9	59334885	59334886	-	no cage activity	no cage activity	no cage activity	1.97	no cage activity	0.242222	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.947	m.830	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr15	75660346	75660347	-	chr15:75660337..75660350,-	div_pc	ENSG00000140400.10	True	False	chr9	56979128	56979129	+	no cage activity	no cage activity	no cage activity	0.1	no cage activity	0.0144444	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.948	m.831	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr15	81616501	81616502	-	chr15:81616494..81616530,-	div_pc	ENSG00000172345.9	True	True	chr7	90780509	90780510	+	chr7:90780497..90780532,+	div_pc	ENSMUSG00000046027.17	1.71	21.72	1.02778	5.1025	False	human	mouse	human__protein_coding:mouse__protein_coding	h.949	m.832	div. mRNA	div. mRNA	mRNA	mRNA
chr16	11945390	11945391	-	chr16:11945370..11945418,-	div_pc	ENSG00000171490.8	True	True	chr16	11203377	11203378	-	chr16:11203352..11203405,-	div_pc	ENSMUSG00000005846.11	96.11	112.19	149.27700000000002	429.42	False	human	mouse	human__protein_coding:mouse__protein_coding	h.950	m.833	div. mRNA	div. mRNA	mRNA	mRNA
chr16	30709516	30709517	+	chr16:30709448..30709525,+	div_pc	ENSG00000080603.12	True	True	chr7	134655543	134655544	+	chr7:134655490..134655589,+	div_pc	ENSMUSG00000053877.12	10.89	38.65	5.643330000000001	33.6638	False	human	mouse	human__protein_coding:mouse__protein_coding	h.952	m.835	div. mRNA	div. mRNA	mRNA	mRNA
chr16	67463703	67463704	+	chr16:67463701..67463709,+	div_pc	ENSG00000176387.6	True	False	chr8	108041385	108041386	+	no cage activity	no cage activity	no cage activity	0.03	no cage activity	0.0	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.953	m.836	div. mRNA	no CAGE activity	mRNA	no CAGE activity
chr16	69760462	69760463	-	chr16:69760453..69760476,-	div_pc	ENSG00000181019.8	True	True	chr8	109927105	109927106	-	chr8:109927097..109927113,-	protein_coding	ENSMUSG00000003849.8	264.14	31.88	43.3778	33.5575	False	human	mouse	human__protein_coding:mouse__protein_coding	h.954	m.837	div. mRNA	mRNA	mRNA	mRNA
chr16	87351036	87351037	-	chr16:87351031..87351041,-	div_pc	ENSG00000260456.2	True	True	chr8	124065868	124065869	-	chr8:124065862..124065874,-	unassigned	unassigned	0.12	0.16	0.057777800000000004	0.21375	False	human	mouse	human__protein_coding:mouse__unassigned	h.955	m.838	div. mRNA	other	mRNA	other
chr17	7589997	7589998	+	chr17:7589990..7590011,+	div_pc	ENSG00000141499.12	True	True	chr11	69394705	69394706	-	chr11:69394695..69394714,-	div_pc	ENSMUSG00000041346.11	1.52	0.65	0.622222	0.63875	False	human	mouse	human__protein_coding:mouse__protein_coding	h.957	m.840	div. mRNA	div. mRNA	mRNA	mRNA
chr17	13972839	13972840	+	chr17:13972807..13972864,+	div_pc	ENSG00000006695.6	True	True	chr11	63892971	63892972	-	chr11:63892946..63892982,-	div_pc	ENSMUSG00000042148.8	5.34	11.5	6.60778	12.6263	False	human	mouse	human__protein_coding:mouse__protein_coding	h.959	m.842	div. mRNA	div. mRNA	mRNA	mRNA
chr17	35294083	35294084	+	chr17:35294075..35294102,+	div_pc	ENSG00000132130.7	True	True	chr11	84339035	84339036	-	chr11:84339016..84339044,-	div_pc	ENSMUSG00000018698.15	1.41	4.17	3.69	0.06375	False	human	mouse	human__protein_coding:mouse__protein_coding	h.961	m.844	div. mRNA	div. mRNA	mRNA	mRNA
chr17	37557877	37557878	-	chr17:37557846..37557920,-	div_pc	ENSG00000108306.7	True	True	chr11	98010895	98010896	-	chr11:98010865..98010935,-	protein_coding	ENSMUSG00000020883.18	10.43	20.3	5.73778	11.955	False	human	mouse	human__protein_coding:mouse__protein_coding	h.962	m.845	div. mRNA	mRNA	mRNA	mRNA
chr17	38083230	38083231	-	chr17:38083225..38083236,-	div_pc	ENSG00000172057.5	True	False	chr11	98447961	98447962	-	no cage activity	no cage activity	no cage activity	0.15	no cage activity	0.0	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.963	m.846	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr17	40086793	40086794	-	chr17:40086783..40086804,-	div_pc	ENSG00000131473.12	True	True	chr11	100406898	100406899	-	chr11:100406893..100406907,-	unassigned	unassigned	0.99	0.36	0.73	1.085	False	human	mouse	human__protein_coding:mouse__unassigned	h.964	m.847	div. mRNA	other	mRNA	other
chr17	43298795	43298796	+	chr17:43298790..43298799,+	div_pc	ENSG00000184922.9	True	True	chr11	103032048	103032049	+	chr11:103032041..103032054,+	protein_coding	ENSMUSG00000055805.15	0.1	0.15	0.0	0.0	False	human	mouse	human__protein_coding:mouse__protein_coding	h.965	m.848	div. mRNA	mRNA	mRNA	mRNA
chr17	45973601	45973602	+	chr17:45973586..45973618,+	div_pc	ENSG00000167182.11	True	True	chr11	96838991	96838992	-	chr11:96838974..96839007,-	unassigned	unassigned	14.03	12.39	7.4833300000000005	10.4375	False	human	mouse	human__protein_coding:mouse__unassigned	h.966	m.849	div. mRNA	other	mRNA	other
chr17	46799878	46799879	-	chr17:46799872..46799887,-	div_pc	ENSG00000159182.3	True	False	chr11	96062252	96062253	+	no cage activity	no cage activity	no cage activity	2.08	no cage activity	1.0522200000000002	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.967	m.850	div. mRNA	no CAGE activity	mRNA	no CAGE activity
chr17	59477203	59477204	+	chr17:59477197..59477212,+	div_pc	ENSG00000121068.9	True	True	chr11	85646309	85646310	+	chr11:85646303..85646329,+	div_pc	ENSMUSG00000000093.6	5.0	8.01	0.0	0.04875	False	human	mouse	human__protein_coding:mouse__protein_coding	h.969	m.852	div. mRNA	div. mRNA	mRNA	mRNA
chr17	73266498	73266499	-	chr17:73266490..73266504,-	div_pc	ENSG00000125457.9	True	False	chr11	115473522	115473523	-	no cage activity	no cage activity	no cage activity	0.14	no cage activity	0.057777800000000004	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.970	m.853	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr17	80416084	80416085	+	chr17:80416050..80416101,+	div_pc	ENSG00000141562.13	True	False	chr11	121098053	121098054	+	no cage activity	no cage activity	no cage activity	7.23	no cage activity	3.00222	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.974	m.857	div. mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
chr19	8455079	8455080	+	chr19:8455077..8455082,+	div_pc	ENSG00000185236.7	True	True	chr17	33897428	33897429	-	chr17:33897396..33897443,-	div_pc	ENSMUSG00000077450.12	0.38	4.37	0.278889	6.79375	False	human	mouse	human__protein_coding:mouse__protein_coding	h.980	m.863	div. mRNA	div. mRNA	mRNA	mRNA
chr19	18314414	18314415	-	chr19:18314375..18314422,-	other_pc	ENSG00000105649.5	True	False	chr8	73279002	73279003	+	no cage activity	no cage activity	no cage activity	0.65	no cage activity	0.227778	no cage activity	False	human	mouse	human__protein_coding:mouse__no_CAGE	h.981	m.864	other mRNA	reclassified - CAGE peak	mRNA	reclassified - CAGE peak
